# density, value
1.216203472209888871e-05,7.321600112640286397e+02
0.000000000000000000e+00,7.460490456878480927e+02
0.000000000000000000e+00,7.599380801116676594e+02
0.000000000000000000e+00,7.738271145354871123e+02
0.000000000000000000e+00,7.877161489593066790e+02
0.000000000000000000e+00,8.016051833831261320e+02
0.000000000000000000e+00,8.154942178069456986e+02
0.000000000000000000e+00,8.293832522307651516e+02
0.000000000000000000e+00,8.432722866545846045e+02
0.000000000000000000e+00,8.571613210784041712e+02
0.000000000000000000e+00,8.710503555022236242e+02
0.000000000000000000e+00,8.849393899260430771e+02
0.000000000000000000e+00,8.988284243498626438e+02
1.216203472209878876e-05,9.127174587736820968e+02
0.000000000000000000e+00,9.266064931975016634e+02
0.000000000000000000e+00,9.404955276213211164e+02
0.000000000000000000e+00,9.543845620451406830e+02
0.000000000000000000e+00,9.682735964689601360e+02
0.000000000000000000e+00,9.821626308927795890e+02
0.000000000000000000e+00,9.960516653165991556e+02
1.216203472209888871e-05,1.009940699740418609e+03
0.000000000000000000e+00,1.023829734164238062e+03
0.000000000000000000e+00,1.037718768588057628e+03
1.216203472209878876e-05,1.051607803011877195e+03
1.216203472209898866e-05,1.065496837435696762e+03
2.432406944419757751e-05,1.079385871859516101e+03
3.648610416629636627e-05,1.093274906283335667e+03
4.864813888839595462e-05,1.107163940707155234e+03
7.297220833259273254e-05,1.121052975130974573e+03
1.094583124988891056e-04,1.134942009554794140e+03
6.081017361049493989e-05,1.148831043978613707e+03
1.459444166651854651e-04,1.162720078402433046e+03
2.554027291640745571e-04,1.176609112826252613e+03
2.554027291640787313e-04,1.190498147250072179e+03
2.554027291640745571e-04,1.204387181673891519e+03
3.162129027745685483e-04,1.218276216097711085e+03
3.162129027745736983e-04,1.232165250521530652e+03
3.405369722187660581e-04,1.246054284945349991e+03
2.432406944419757751e-04,1.259943319369169558e+03
2.675647638861777572e-04,1.273832353792989124e+03
4.135091805513520821e-04,1.287721388216808464e+03
3.405369722187716959e-04,1.301610422640628258e+03
3.405369722187716959e-04,1.315499457064447597e+03
3.283749374966619364e-04,1.329388491488266936e+03
2.797267986082767289e-04,1.343277525912086730e+03
2.310786597198769931e-04,1.357166560335906070e+03
3.040508680524697392e-04,1.371055594759725636e+03
4.378332499955635781e-04,1.384944629183545203e+03
3.283749374966673032e-04,1.398833663607364542e+03
4.013471458292600493e-04,1.412722698031184109e+03
3.891851111071676370e-04,1.426611732455003676e+03
4.864813888839515502e-04,1.440500766878823015e+03
4.013471458292600493e-04,1.454389801302642582e+03
4.378332499955635781e-04,1.468278835726462148e+03
4.864813888839515502e-04,1.482167870150281487e+03
5.229674930502479233e-04,1.496056904574101054e+03
6.689119097154443659e-04,1.509945938997920621e+03
9.121526041573942015e-04,1.523834973421739960e+03
1.118907194433106916e-03,1.537724007845559754e+03
1.556740444428670548e-03,1.551613042269379093e+03
1.483768236096028037e-03,1.565502076693198433e+03
1.848629277759046303e-03,1.579391111117018227e+03
2.237814388866177402e-03,1.593280145540837566e+03
2.626999499973338426e-03,1.607169179964657133e+03
3.101318854135242178e-03,1.621058214388476699e+03
3.344559548577167186e-03,1.634947248812296039e+03
3.709420590240130374e-03,1.648836283236115605e+03
3.952661284682170741e-03,1.662725317659935172e+03
3.672934486073834489e-03,1.676614352083754511e+03
3.855365006905316517e-03,1.690503386507574078e+03
3.490503965242409273e-03,1.704392420931393644e+03
3.198615131911981477e-03,1.718281455355212984e+03
3.076994784690993603e-03,1.732170489779032550e+03
2.420244909697698895e-03,1.746059524202852117e+03
1.933763520813675625e-03,1.759948558626671456e+03
1.860791312481145220e-03,1.773837593050491250e+03
1.544578409706571414e-03,1.787726627474310590e+03
1.447282131929732152e-03,1.801615661898129929e+03
1.155393298599403885e-03,1.815504696321949723e+03
1.118907194433106916e-03,1.829393730745769062e+03
9.608007430457886789e-04,1.843282765169588401e+03
8.756664999911271561e-04,1.857171799593408196e+03
7.540461527701373306e-04,1.871060834017227535e+03
7.662081874922112030e-04,1.884949868441046874e+03
5.837776666607514013e-04,1.898838902864866668e+03
6.202637708270483706e-04,1.912727937288686007e+03
5.351295277723379503e-04,1.926616971712505347e+03
6.081017361049494531e-04,1.940506006136325141e+03
5.716156319386337271e-04,1.954395040560144480e+03
3.526990069408706134e-04,1.968284074983964274e+03
3.162129027745736983e-04,1.982173109407783613e+03
1.824305208314788566e-04,1.996062143831602953e+03
1.094583124988908945e-04,2.009951178255422747e+03
1.459444166651878503e-04,2.023840212679242086e+03
1.459444166651830798e-04,2.037729247103061425e+03
6.081017361049493989e-05,2.051618281526881219e+03
7.297220833259392516e-05,2.065507315950700558e+03
1.216203472209858886e-05,2.079396350374519898e+03
2.432406944419797731e-05,2.093285384798339692e+03
2.432406944419797731e-05,2.107174419222159031e+03
