# density, value
2.625804192758610968e-05,7.122331432671475113e+02
9.627948706781536505e-05,7.415884137026502003e+02
1.487955709229879639e-04,7.709436841381530030e+02
2.625804192758611510e-04,8.002989545736556920e+02
3.588599063436754590e-04,8.296542250091583810e+02
4.026233095563203665e-04,8.590094954446611837e+02
5.601715611218348019e-04,8.883647658801638727e+02
5.776769224068944129e-04,9.177200363156666754e+02
6.564510481896527420e-04,9.470753067511693644e+02
7.352251739724082521e-04,9.764305771866720534e+02
9.715475513206898528e-04,1.005785847622174856e+03
1.347912818949409744e-03,1.035141118057677431e+03
1.811804893003441568e-03,1.064496388493180348e+03
2.967158737817230177e-03,1.093851658928683037e+03
3.308513282875849820e-03,1.123206929364185726e+03
3.474814215083895253e-03,1.152562199799688415e+03
3.562341021509154819e-03,1.181917470235191104e+03
3.080943586170103825e-03,1.211272740670694020e+03
2.214428202559761989e-03,1.240628011106196709e+03
1.610493238225268889e-03,1.269983281541699398e+03
8.402573416827621234e-04,1.299338551977202314e+03
5.601715611218326335e-04,1.328693822412704776e+03
3.150965031310333161e-04,1.358049092848207692e+03
3.150965031310333161e-04,1.387404363283710381e+03
2.188170160632175716e-04,1.416759633719213070e+03
1.663009322080453794e-04,1.446114904154715759e+03
1.575482515655154383e-04,1.475470174590218448e+03
1.225375289954028029e-04,1.504825445025721365e+03
1.137848483528722655e-04,1.534180715461223826e+03
7.002144514022962129e-05,1.563535985896726743e+03
7.877412578275832904e-05,1.592891256332229432e+03
7.002144514022907919e-05,1.622246526767732121e+03
6.126876449770140144e-05,1.651601797203235037e+03
4.376340321264317958e-05,1.680957067638737499e+03
6.126876449770045276e-05,1.710312338074240415e+03
7.002144514023016339e-05,1.739667608509743332e+03
1.050321677103436256e-04,1.769022878945245793e+03
2.625804192758631635e-05,1.798378149380748710e+03
1.750536128505726980e-05,1.827733419816251171e+03
5.251608385517181278e-05,1.857088690251754088e+03
2.625804192758631635e-05,1.886443960687257004e+03
7.002144514022907919e-05,1.915799231122759466e+03
6.126876449770140144e-05,1.945154501558262382e+03
4.376340321264317958e-05,1.974509771993764844e+03
7.002144514023016339e-05,2.003865042429267760e+03
9.627948706781499914e-05,2.033220312864770221e+03
7.002144514022907919e-05,2.062575583300273138e+03
4.376340321264385720e-05,2.091930853735776054e+03
6.126876449770045276e-05,2.121286124171278516e+03
6.126876449770140144e-05,2.150641394606781432e+03
5.251608385517181278e-05,2.179996665042283894e+03
5.251608385517181278e-05,2.209351935477786810e+03
3.501072257011508170e-05,2.238707205913289727e+03
4.376340321264317958e-05,2.268062476348792188e+03
7.002144514023016339e-05,2.297417746784295105e+03
2.625804192758590639e-05,2.326773017219797566e+03
2.625804192758590639e-05,2.356128287655300483e+03
7.002144514023016339e-05,2.385483558090803399e+03
2.625804192758590639e-05,2.414838828526305861e+03
4.376340321264385720e-05,2.444194098961808777e+03
3.501072257011453960e-05,2.473549369397311239e+03
5.251608385517181278e-05,2.502904639832814155e+03
3.501072257011508170e-05,2.532259910268317071e+03
2.625804192758590639e-05,2.561615180703819533e+03
3.501072257011508170e-05,2.590970451139322449e+03
7.002144514022907919e-05,2.620325721574824911e+03
3.501072257011453960e-05,2.649680992010327827e+03
1.750536128505754085e-05,2.679036262445830744e+03
4.376340321264317958e-05,2.708391532881333205e+03
4.376340321264317958e-05,2.737746803316836122e+03
2.625804192758631635e-05,2.767102073752339038e+03
5.251608385517181278e-05,2.796457344187841500e+03
5.251608385517263271e-05,2.825812614623344416e+03
5.251608385517181278e-05,2.855167885058846878e+03
4.376340321264317958e-05,2.884523155494349794e+03
7.002144514023016339e-05,2.913878425929852710e+03
6.126876449770045276e-05,2.943233696365355172e+03
2.625804192758631635e-05,2.972588966800858088e+03
6.126876449770045276e-05,3.001944237236360550e+03
3.501072257011453960e-05,3.031299507671863466e+03
5.251608385517263271e-05,3.060654778107366383e+03
5.251608385517181278e-05,3.090010048542868844e+03
4.376340321264385720e-05,3.119365318978371761e+03
6.126876449770045276e-05,3.148720589413874222e+03
5.251608385517263271e-05,3.178075859849377139e+03
8.752680642528634899e-06,3.207431130284879600e+03
2.625804192758590639e-05,3.236786400720382517e+03
4.376340321264385720e-05,3.266141671155885433e+03
2.625804192758590639e-05,3.295496941591387895e+03
1.750536128505754085e-05,3.324852212026890811e+03
1.750536128505726980e-05,3.354207482462393273e+03
2.625804192758590639e-05,3.383562752897896189e+03
2.625804192758631635e-05,3.412918023333399105e+03
2.625804192758590639e-05,3.442273293768901567e+03
0.000000000000000000e+00,3.471628564204404483e+03
0.000000000000000000e+00,3.500983834639906945e+03
0.000000000000000000e+00,3.530339105075409861e+03
0.000000000000000000e+00,3.559694375510912778e+03
8.752680642528634899e-06,3.589049645946415239e+03
8.752680642528770424e-06,3.618404916381918156e+03
