# density, value
1.591207338646678272e-04,4.352598146186596750e+01
1.224005645112829545e-05,5.899341228502454726e+01
0.000000000000000000e+00,7.446084310818312701e+01
4.528820886917469721e-04,8.992827393134172098e+01
1.224005645112829545e-05,1.053957047545003007e+02
1.224005645112828359e-05,1.208631355776588805e+02
0.000000000000000000e+00,1.363305664008174745e+02
0.000000000000000000e+00,1.517979972239760400e+02
0.000000000000000000e+00,1.672654280471346340e+02
0.000000000000000000e+00,1.827328588702932279e+02
0.000000000000000000e+00,1.982002896934517935e+02
0.000000000000000000e+00,2.136677205166103874e+02
0.000000000000000000e+00,2.291351513397689814e+02
0.000000000000000000e+00,2.446025821629275470e+02
0.000000000000000000e+00,2.600700129860861125e+02
0.000000000000000000e+00,2.755374438092446781e+02
0.000000000000000000e+00,2.910048746324033004e+02
0.000000000000000000e+00,3.064723054555618660e+02
0.000000000000000000e+00,3.219397362787204884e+02
0.000000000000000000e+00,3.374071671018790539e+02
0.000000000000000000e+00,3.528745979250376195e+02
0.000000000000000000e+00,3.683420287481962418e+02
0.000000000000000000e+00,3.838094595713548074e+02
0.000000000000000000e+00,3.992768903945133729e+02
0.000000000000000000e+00,4.147443212176719953e+02
0.000000000000000000e+00,4.302117520408305609e+02
0.000000000000000000e+00,4.456791828639891264e+02
1.224005645112825987e-05,4.611466136871476920e+02
3.672016935338492022e-05,4.766140445103063144e+02
2.448011290225661122e-05,4.920814753334648799e+02
3.672016935338478469e-05,5.075489061566234454e+02
6.120028225564153144e-05,5.230163369797820678e+02
3.672016935338492022e-05,5.384837678029406334e+02
7.344033870676984043e-05,5.539511986260991989e+02
4.896022580451322244e-05,5.694186294492577645e+02
3.672016935338464917e-05,5.848860602724163300e+02
1.224005645112830561e-05,6.003534910955750092e+02
6.120028225564153144e-05,6.158209219187335748e+02
7.344033870676984043e-05,6.312883527418921403e+02
8.568039515789814943e-05,6.467557835650507059e+02
3.672016935338492022e-05,6.622232143882092714e+02
3.672016935338464917e-05,6.776906452113678370e+02
2.448011290225661122e-05,6.931580760345265162e+02
3.672016935338492022e-05,7.086255068576850817e+02
3.672016935338492022e-05,7.240929376808436473e+02
8.568039515789814943e-05,7.395603685040022128e+02
1.224005645112830629e-04,7.550277993271607784e+02
1.101605080601539407e-04,7.704952301503193439e+02
1.836008467669245808e-04,7.859626609734780232e+02
1.468806774135396809e-04,8.014300917966365887e+02
2.570411854736944618e-04,8.168975226197951542e+02
2.692812419248227437e-04,8.323649534429537198e+02
3.672016935338491615e-04,8.478323842661122853e+02
2.815212983759510256e-04,8.632998150892708509e+02
5.630425967518979313e-04,8.787672459124294164e+02
4.161619193383623975e-04,8.942346767355880957e+02
3.427215806315925977e-04,9.097021075587466612e+02
4.528820886917472974e-04,9.251695383819052267e+02
4.284019757894907336e-04,9.406369692050637923e+02
5.385624838496454875e-04,9.561044000282223578e+02
6.120028225564108420e-04,9.715718308513809234e+02
5.875227096541587235e-04,9.870392616745396026e+02
8.568039515789814672e-04,1.002506692497698168e+03
1.015924685443649403e-03,1.017974123320856734e+03
1.113845137052675875e-03,1.033441554144015299e+03
1.517766999939910207e-03,1.048908984967173865e+03
1.701367846706834707e-03,1.064376415790332430e+03
2.558171798285816066e-03,1.079843846613490996e+03
2.435771233774532921e-03,1.095311277436649561e+03
2.913133435368537270e-03,1.110778708259808127e+03
3.574096483729412559e-03,1.126246139082966693e+03
3.757697330496390185e-03,1.141713569906125485e+03
3.769937386947518412e-03,1.157181000729284051e+03
3.831137669203159984e-03,1.172648431552442617e+03
3.537376314376080352e-03,1.188115862375601182e+03
3.023293943428691753e-03,1.203583293198759748e+03
2.925373491819665064e-03,1.219050724021918313e+03
3.072254169233205098e-03,1.234518154845076879e+03
2.386811007970019577e-03,1.249985585668235444e+03
1.995129201533914123e-03,1.265453016491394010e+03
1.799288298315861179e-03,1.280920447314552575e+03
1.481046830586525091e-03,1.296387878137711141e+03
1.236245701563959019e-03,1.311855308960869706e+03
1.175045419308300100e-03,1.327322739784028272e+03
1.260725814466215474e-03,1.342790170607187065e+03
1.028164741894777847e-03,1.358257601430345630e+03
6.609630483609285232e-04,1.373725032253504196e+03
5.630425967519020513e-04,1.389192463076662762e+03
5.752826532030303874e-04,1.404659893899821327e+03
4.896022580451322515e-04,1.420127324722979893e+03
5.018423144962605876e-04,1.435594755546138458e+03
2.692812419248227437e-04,1.451062186369297024e+03
1.713607903157962989e-04,1.466529617192455589e+03
6.120028225564153144e-05,1.481997048015614155e+03
7.344033870676984043e-05,1.497464478838772720e+03
4.896022580451250415e-05,1.512931909661931286e+03
3.672016935338492022e-05,1.528399340485090079e+03
2.448011290225661122e-05,1.543866771308248644e+03
1.224005645112830561e-05,1.559334202131407210e+03
1.224005645112830561e-05,1.574801632954565775e+03
