# density, value
8.623449670596902705e-06,0.000000000000000000e+00
0.000000000000000000e+00,2.225774915912796459e+01
0.000000000000000000e+00,4.451549831825592918e+01
0.000000000000000000e+00,6.677324747738389021e+01
0.000000000000000000e+00,8.903099663651185836e+01
0.000000000000000000e+00,1.112887457956398265e+02
0.000000000000000000e+00,1.335464949547677804e+02
0.000000000000000000e+00,1.558042441138957486e+02
0.000000000000000000e+00,1.780619932730237167e+02
0.000000000000000000e+00,2.003197424321516849e+02
0.000000000000000000e+00,2.225774915912796530e+02
0.000000000000000000e+00,2.448352407504076211e+02
0.000000000000000000e+00,2.670929899095355609e+02
0.000000000000000000e+00,2.893507390686635290e+02
0.000000000000000000e+00,3.116084882277914971e+02
0.000000000000000000e+00,3.338662373869194653e+02
0.000000000000000000e+00,3.561239865460474334e+02
0.000000000000000000e+00,3.783817357051754016e+02
0.000000000000000000e+00,4.006394848643033697e+02
0.000000000000000000e+00,4.228972340234313378e+02
0.000000000000000000e+00,4.451549831825593060e+02
0.000000000000000000e+00,4.674127323416872741e+02
0.000000000000000000e+00,4.896704815008152423e+02
0.000000000000000000e+00,5.119282306599432104e+02
0.000000000000000000e+00,5.341859798190711217e+02
0.000000000000000000e+00,5.564437289781991467e+02
0.000000000000000000e+00,5.787014781373270580e+02
0.000000000000000000e+00,6.009592272964550830e+02
0.000000000000000000e+00,6.232169764555829943e+02
0.000000000000000000e+00,6.454747256147110193e+02
0.000000000000000000e+00,6.677324747738389306e+02
0.000000000000000000e+00,6.899902239329669555e+02
0.000000000000000000e+00,7.122479730920948668e+02
0.000000000000000000e+00,7.345057222512227781e+02
0.000000000000000000e+00,7.567634714103508031e+02
0.000000000000000000e+00,7.790212205694787144e+02
0.000000000000000000e+00,8.012789697286067394e+02
0.000000000000000000e+00,8.235367188877346507e+02
0.000000000000000000e+00,8.457944680468626757e+02
0.000000000000000000e+00,8.680522172059905870e+02
0.000000000000000000e+00,8.903099663651186120e+02
0.000000000000000000e+00,9.125677155242465233e+02
0.000000000000000000e+00,9.348254646833745483e+02
0.000000000000000000e+00,9.570832138425024596e+02
0.000000000000000000e+00,9.793409630016304845e+02
0.000000000000000000e+00,1.001598712160758396e+03
0.000000000000000000e+00,1.023856461319886421e+03
0.000000000000000000e+00,1.046114210479014446e+03
0.000000000000000000e+00,1.068371959638142243e+03
0.000000000000000000e+00,1.090629708797270268e+03
0.000000000000000000e+00,1.112887457956398293e+03
0.000000000000000000e+00,1.135145207115526091e+03
0.000000000000000000e+00,1.157402956274654116e+03
2.587034901179064035e-05,1.179660705433782141e+03
5.174069802358181603e-05,1.201918454592910166e+03
6.036414769417815631e-05,1.224176203752037964e+03
1.379751947295500909e-04,1.246433952911165989e+03
1.983393424237282472e-04,1.268691702070294014e+03
2.759503894591030008e-04,1.290949451229422039e+03
1.897158927531313716e-04,1.313207200388549836e+03
2.500800404473095279e-04,1.335464949547677861e+03
3.276910874826814896e-04,1.357722698706805886e+03
3.276910874826847965e-04,1.379980447865933911e+03
2.155862417649220255e-04,1.402238197025061709e+03
3.621848861650689920e-04,1.424495946184189734e+03
3.018207384708939257e-04,1.446753695343317759e+03
4.311724835298440511e-04,1.469011444502445556e+03
3.363145371532783381e-04,1.491269193661573581e+03
3.794317855062627433e-04,1.513526942820701606e+03
4.915366312240272489e-04,1.535784691979829631e+03
4.225490338592470941e-04,1.558042441138957429e+03
4.311724835298440511e-04,1.580300190298085454e+03
5.432773292476034610e-04,1.602557939457213479e+03
6.208883762829816568e-04,1.624815688616341504e+03
8.968387657420756045e-04,1.647073437775469301e+03
1.379751947295500747e-03,1.669331186934597326e+03
1.785054081813554090e-03,1.691588936093725351e+03
2.138615518308048351e-03,1.713846685252853376e+03
2.819868042285179812e-03,1.736104434411981174e+03
3.173429478779651956e-03,1.758362183571109199e+03
3.328651572850429598e-03,1.780619932730237224e+03
3.526990915274123665e-03,1.802877681889365022e+03
3.380392270873976753e-03,1.825135431048493047e+03
3.259663975485620983e-03,1.847393180207621072e+03
2.725010095908642072e-03,1.869650929366749097e+03
2.681892847555629802e-03,1.891908678525876894e+03
1.923029276543104316e-03,1.914166427685004919e+03
1.534974041366244778e-03,1.936424176844132944e+03
1.198659504212978583e-03,1.958681926003260969e+03
7.847339200243159778e-04,1.980939675162388767e+03
6.208883762829753685e-04,2.003197424321516792e+03
4.829131815534252505e-04,2.025455173480644817e+03
2.931972888002969146e-04,2.047712922639772842e+03
2.155862417649198029e-04,2.069970671798900639e+03
1.465986444001484573e-04,2.092228420958028892e+03
6.898759736477575019e-05,2.114486170117156689e+03
5.174069802358075216e-05,2.136743919276284487e+03
1.724689934119393755e-05,2.159001668435412739e+03
7.761104703537270711e-05,2.181259417594540537e+03
2.587034901179037608e-05,2.203517166753668334e+03
