# density, value
1.377711053079186550e-04,0.000000000000000000e+00
1.968158647255980980e-05,1.917317443348143158e+01
0.000000000000000000e+00,3.834634886696286316e+01
1.377711053079186550e-04,5.751952330044429118e+01
7.872634589023922564e-05,7.669269773392572631e+01
1.968158647255981996e-05,9.586587216740716144e+01
5.904475941767937518e-05,1.150390466008885824e+02
1.377711053079187363e-04,1.342122210343700317e+02
0.000000000000000000e+00,1.533853954678514526e+02
7.872634589023917143e-05,1.725585699013328735e+02
1.180895188353589130e-04,1.917317443348143229e+02
1.771342782530383830e-04,2.109049187682957438e+02
1.377711053079185466e-04,2.300780932017771647e+02
1.771342782530381120e-04,2.492512676352586141e+02
1.771342782530386541e-04,2.684244420687400634e+02
2.361790376707175007e-04,2.875976165022214559e+02
1.574526917804783429e-04,3.067707909357029052e+02
2.952237970883977297e-04,3.259439653691843546e+02
1.771342782530381120e-04,3.451171398026657471e+02
1.968158647255979082e-04,3.642903142361471964e+02
2.952237970883977297e-04,3.834634886696286458e+02
2.755422106158370932e-04,4.026366631031100383e+02
2.558606241432772699e-04,4.218098375365914876e+02
3.936317294511970091e-04,4.409830119700729369e+02
4.723580753414350014e-04,4.601561864035543294e+02
4.329949023963153548e-04,4.793293608370357788e+02
4.133133159237555856e-04,4.985025352705172281e+02
6.691739400670329097e-04,5.176757097039986775e+02
4.920396618139976979e-04,5.368488841374801268e+02
3.345869700335164548e-04,5.560220585709614625e+02
7.479002859572719862e-04,5.751952330044429118e+02
5.707660077042339556e-04,5.943684074379243611e+02
6.888555265395926788e-04,6.135415818714058105e+02
1.082487255990788495e-03,6.327147563048872598e+02
8.856713912651905871e-04,6.518879307383687092e+02
9.053529777377557772e-04,6.710611051718501585e+02
1.062805669518228835e-03,6.902342796053314942e+02
9.643977371554298805e-04,7.094074540388129435e+02
1.298984707188946281e-03,7.285806284722943929e+02
1.239939947771266865e-03,7.477538029057758422e+02
1.535163744859663511e-03,7.669269773392572915e+02
1.731979609585271827e-03,7.861001517727387409e+02
2.027203406673658715e-03,8.052733262062200765e+02
1.712298023112701975e-03,8.244465006397015259e+02
1.909113887838299883e-03,8.436196750731829752e+02
1.987840233728538960e-03,8.627928495066644246e+02
1.653253263695022342e-03,8.819660239401458739e+02
1.535163744859673052e-03,9.011391983736273232e+02
1.456437398969424434e-03,9.203123728071086589e+02
1.161213601881027789e-03,9.394855472405901082e+02
9.643977371554298805e-04,9.586587216740715576e+02
1.003760910100549419e-03,9.778318961075530069e+02
7.282186994847122171e-04,9.970050705410344563e+02
7.479002859572719862e-04,1.016178244974515906e+03
6.298107671219170577e-04,1.035351419407997355e+03
8.266266318475062923e-04,1.054524593841478691e+03
5.510844212316774390e-04,1.073697768274960254e+03
5.707660077042373166e-04,1.092870942708441589e+03
7.675818724298273102e-04,1.112044117141922925e+03
5.510844212316774390e-04,1.131217291575404488e+03
5.117212482865515040e-04,1.150390466008885824e+03
5.510844212316774390e-04,1.169563640442367387e+03
5.510844212316709338e-04,1.188736814875848722e+03
5.510844212316774390e-04,1.207909989309330285e+03
6.888555265395967988e-04,1.227083163742811621e+03
8.069450453749466316e-04,1.246256338176292957e+03
4.723580753414377662e-04,1.265429512609774520e+03
6.494923535944692374e-04,1.284602687043255855e+03
4.526764888688778886e-04,1.303775861476737418e+03
4.329949023963128611e-04,1.322949035910218754e+03
4.723580753414377662e-04,1.342122210343700317e+03
4.920396618139976979e-04,1.361295384777181653e+03
5.117212482865515040e-04,1.380468559210662988e+03
2.755422106158387195e-04,1.399641733644144551e+03
3.542685565060741640e-04,1.418814908077625887e+03
2.361790376707188831e-04,1.437988082511107450e+03
4.329949023963179568e-04,1.457161256944588786e+03
2.558606241432757520e-04,1.476334431378070121e+03
2.558606241432788420e-04,1.495507605811551684e+03
3.936317294511934854e-04,1.514680780245033020e+03
2.164974511981589784e-04,1.533853954678514583e+03
3.739501429786338247e-04,1.553027129111995919e+03
4.133133159237580251e-04,1.572200303545477482e+03
2.164974511981589784e-04,1.591373477978958817e+03
1.771342782530370820e-04,1.610546652412440153e+03
1.968158647255991009e-04,1.629719826845921716e+03
1.968158647255967427e-04,1.648893001279403052e+03
1.574526917804792644e-04,1.668066175712884615e+03
2.361790376707161184e-04,1.687239350146365950e+03
1.377711053079193598e-04,1.706412524579847513e+03
5.904475941767972077e-05,1.725585699013328849e+03
5.904475941767902959e-05,1.744758873446810185e+03
3.936317294511981611e-05,1.763932047880291748e+03
3.936317294511934854e-05,1.783105222313773083e+03
3.936317294511981611e-05,1.802278396747254646e+03
7.872634589023963221e-05,1.821451571180735982e+03
0.000000000000000000e+00,1.840624745614217318e+03
3.936317294511981611e-05,1.859797920047698881e+03
3.936317294511934854e-05,1.878971094481180216e+03
3.936317294511981611e-05,1.898144268914661779e+03
