# density, value
1.188259993814397471e-04,0.000000000000000000e+00
0.000000000000000000e+00,5.185253634479572327e+00
0.000000000000000000e+00,1.037050726895914465e+01
0.000000000000000000e+00,1.555576090343871698e+01
0.000000000000000000e+00,2.074101453791828931e+01
0.000000000000000000e+00,2.592626817239786163e+01
0.000000000000000000e+00,3.111152180687743396e+01
0.000000000000000000e+00,3.629677544135700629e+01
0.000000000000000000e+00,4.148202907583657861e+01
0.000000000000000000e+00,4.666728271031615094e+01
1.188259993814397471e-04,5.185253634479572327e+01
1.188259993814397471e-04,5.703778997927529559e+01
0.000000000000000000e+00,6.222304361375486792e+01
0.000000000000000000e+00,6.740829724823444735e+01
0.000000000000000000e+00,7.259355088271401257e+01
0.000000000000000000e+00,7.777880451719357779e+01
0.000000000000000000e+00,8.296405815167315723e+01
0.000000000000000000e+00,8.814931178615273666e+01
0.000000000000000000e+00,9.333456542063230188e+01
2.376519987628791959e-04,9.851981905511186710e+01
0.000000000000000000e+00,1.037050726895914465e+02
0.000000000000000000e+00,1.088903263240710260e+02
0.000000000000000000e+00,1.140755799585505912e+02
0.000000000000000000e+00,1.192608335930301564e+02
1.188259993814395980e-04,1.244460872275097358e+02
1.188259993814395980e-04,1.296313408619893153e+02
1.188259993814402485e-04,1.348165944964688947e+02
1.188259993814395980e-04,1.400018481309484457e+02
0.000000000000000000e+00,1.451871017654280251e+02
0.000000000000000000e+00,1.503723553999076046e+02
0.000000000000000000e+00,1.555576090343871556e+02
0.000000000000000000e+00,1.607428626688667350e+02
1.188259993814395980e-04,1.659281163033463145e+02
0.000000000000000000e+00,1.711133699378258939e+02
0.000000000000000000e+00,1.762986235723054733e+02
0.000000000000000000e+00,1.814838772067850243e+02
0.000000000000000000e+00,1.866691308412646038e+02
0.000000000000000000e+00,1.918543844757441832e+02
0.000000000000000000e+00,1.970396381102237342e+02
1.188259993814395980e-04,2.022248917447033136e+02
0.000000000000000000e+00,2.074101453791828931e+02
2.376519987628791959e-04,2.125953990136624725e+02
1.188259993814402485e-04,2.177806526481420519e+02
4.753039975257583919e-04,2.229659062826216029e+02
3.564779981443187262e-04,2.281511599171011824e+02
7.129559962886414639e-04,2.333364135515807618e+02
2.376519987628791959e-04,2.385216671860603128e+02
9.506079950515167838e-04,2.437069208205398922e+02
1.544737991958714625e-03,2.488921744550194717e+02
1.307085993195835402e-03,2.540774280894990511e+02
1.188259993814395898e-03,2.592626817239786305e+02
9.506079950515167838e-04,2.644479353584582100e+02
1.782389990721613580e-03,2.696331889929377894e+02
1.188259993814395898e-03,2.748184426274173120e+02
1.901215990103033568e-03,2.800036962618968914e+02
1.544737991958714625e-03,2.851889498963764709e+02
1.188259993814395898e-03,2.903742035308560503e+02
2.020041989484472854e-03,2.955594571653356297e+02
1.782389990721593848e-03,3.007447107998152092e+02
1.782389990721613580e-03,3.059299644342947886e+02
1.307085993195835402e-03,3.111152180687743112e+02
1.901215990103033568e-03,3.163004717032538906e+02
1.663563991340154345e-03,3.214857253377334700e+02
3.208301983298868752e-03,3.266709789722130495e+02
4.040083978968945708e-03,3.318562326066926289e+02
6.297777967216297568e-03,3.370414862411722083e+02
9.981383948040926934e-03,3.422267398756517878e+02
9.862557948659485263e-03,3.474119935101313672e+02
1.223907793628841237e-02,3.525972471446109466e+02
9.387253951133727251e-03,3.577825007790904692e+02
1.105081794247388290e-02,3.629677544135700487e+02
9.506079950515167187e-03,3.681530080480496281e+02
7.961341958556451479e-03,3.733382616825292075e+02
6.891907964123496384e-03,3.785235153170087870e+02
6.416603966597737504e-03,3.837087689514883664e+02
5.941299969072044544e-03,3.888940225859679458e+02
5.941299969071979492e-03,3.940792762204474684e+02
8.436645956082211226e-03,3.992645298549270478e+02
6.416603966597737504e-03,4.044497834894066273e+02
5.941299969071979492e-03,4.096350371238862067e+02
6.060125968453419429e-03,4.148202907583657861e+02
4.040083978968945708e-03,4.200055443928453656e+02
3.208301983298868752e-03,4.251907980273249450e+02
3.683605980824627198e-03,4.303760516618045244e+02
2.376519987628817818e-03,4.355613052962841039e+02
2.020041989484472854e-03,4.407465589307636264e+02
1.782389990721593848e-03,4.459318125652432059e+02
2.138867988865912791e-03,4.511170661997227853e+02
1.901215990103033568e-03,4.563023198342023647e+02
2.257693988247352294e-03,4.614875734686819442e+02
1.188259993814395898e-03,4.666728271031615236e+02
7.129559962886453670e-04,4.718580807376411030e+02
1.188259993814395898e-03,4.770433343721206256e+02
5.941299969071979492e-04,4.822285880066002051e+02
9.506079950515167838e-04,4.874138416410797845e+02
8.317819956700771723e-04,4.925990952755593639e+02
4.753039975257583919e-04,4.977843489100389434e+02
1.188259993814395980e-04,5.029696025445185228e+02
1.188259993814408990e-04,5.081548561789981022e+02
2.376519987628765668e-04,5.133401098134776248e+02
