# density, value
1.558861302101220148e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.242919124457661173e+00
0.000000000000000000e+00,2.485838248915322346e+00
0.000000000000000000e+00,3.728757373372983519e+00
0.000000000000000000e+00,4.971676497830644692e+00
0.000000000000000000e+00,6.214595622288305421e+00
0.000000000000000000e+00,7.457514746745967038e+00
0.000000000000000000e+00,8.700433871203628655e+00
1.686149022421256846e-02,9.943352995661289384e+00
1.719210767958928229e-02,1.118627212011895011e+01
1.454716803657552827e-02,1.242919124457661084e+01
1.504309421964062331e-02,1.367211036903427335e+01
1.157161093818507777e-02,1.491502949349193408e+01
1.520840294732898196e-02,1.615794861794959658e+01
1.272877203200360567e-02,1.740086774240725731e+01
1.355531567044539892e-02,1.864378686686491804e+01
1.140630221049673647e-02,1.988670599132257877e+01
1.239815457662688664e-02,2.112962511578023950e+01
1.157161093818509512e-02,2.237254424023790023e+01
1.239815457662688664e-02,2.361546336469556095e+01
1.272877203200356924e-02,2.485838248915322168e+01
1.024914111667822765e-02,2.610130161361088597e+01
1.305938948738032297e-02,2.734422073806854669e+01
1.041444984436658630e-02,2.858713986252620742e+01
1.157161093818509512e-02,2.983005898698386815e+01
1.289408075969192616e-02,3.107297811144152888e+01
1.057975857205497444e-02,3.231589723589919316e+01
1.173691966587342081e-02,3.355881636035685034e+01
1.157161093818512808e-02,3.480173548481451462e+01
1.256346330431521059e-02,3.604465460927217180e+01
1.024914111667825541e-02,3.728757373372983608e+01
1.140630221049670351e-02,3.853049285818749325e+01
1.372062439813371594e-02,3.977341198264515754e+01
1.206753712125020403e-02,4.101633110710282182e+01
1.438185930888714707e-02,4.225925023156047899e+01
1.239815457662692307e-02,4.350216935601814328e+01
1.289408075969192616e-02,4.474508848047580045e+01
1.091037602743169348e-02,4.598800760493346473e+01
1.173691966587342081e-02,4.723092672939112191e+01
1.223284584893856441e-02,4.847384585384878619e+01
1.091037602743162929e-02,4.971676497830644337e+01
1.388593312582207286e-02,5.095968410276410765e+01
1.157161093818512808e-02,5.220260322722177193e+01
1.057975857205491373e-02,5.344552235167942911e+01
1.074506729974333309e-02,5.468844147613709339e+01
1.190222839356177773e-02,5.593136060059475057e+01
1.107568475512005039e-02,5.717427972505241485e+01
1.107568475511998794e-02,5.841719884951007202e+01
8.265436384417901294e-03,5.966011797396773630e+01
1.091037602743169348e-02,6.090303709842540059e+01
9.422597478236406643e-03,6.214595622288305776e+01
9.587906205924765293e-03,6.338887534734072204e+01
9.753214933613179455e-03,6.463179447179838633e+01
6.116422924469282207e-03,6.587471359625604350e+01
7.108275290599435844e-03,6.711763272071370068e+01
7.769510201352782842e-03,6.836055184517135785e+01
6.942966562911077194e-03,6.960347096962902924e+01
6.281731652157640858e-03,7.084639009408668642e+01
6.281731652157569734e-03,7.208930921854434359e+01
4.463335647585692234e-03,7.333222834300201498e+01
5.455188013715846738e-03,7.457514746745967216e+01
3.967409464520615416e-03,7.581806659191732933e+01
5.455188013715783421e-03,7.706098571637498651e+01
4.298026919897333584e-03,7.830390484083265790e+01
3.306174553767179079e-03,7.954682396529031507e+01
2.975557098390427518e-03,8.078974308974797225e+01
4.959261830650769053e-03,8.203266221420564364e+01
2.479630915325384526e-03,8.327558133866330081e+01
2.810248370702102694e-03,8.451850046312095799e+01
2.479630915325356337e-03,8.576141958757861516e+01
2.975557098390461779e-03,8.700433871203628655e+01
9.918523661301538539e-04,8.824725783649394373e+01
2.314322187636998988e-03,8.949017696095160090e+01
2.479630915325384526e-03,9.073309608540927229e+01
1.983704732260307708e-03,9.197601520986692947e+01
3.306174553767179513e-04,9.321893433432458664e+01
6.612349107534284216e-04,9.446185345878224382e+01
1.487778549195230889e-03,9.570477258323991521e+01
1.818396004571948841e-03,9.694769170769757238e+01
1.322469821506871805e-03,9.819061083215522956e+01
1.487778549195213759e-03,9.943352995661288674e+01
1.157161093818512938e-03,1.006764490810705581e+02
6.612349107534359026e-04,1.019193682055282153e+02
0.000000000000000000e+00,1.031622873299858725e+02
1.653087276883589756e-04,1.044052064544435439e+02
3.306174553767179513e-04,1.056481255789012010e+02
1.653087276883589756e-04,1.068910447033588582e+02
0.000000000000000000e+00,1.081339638278165154e+02
1.653087276883589756e-04,1.093768829522741868e+02
3.306174553767179513e-04,1.106198020767318440e+02
1.653087276883571054e-04,1.118627212011895011e+02
0.000000000000000000e+00,1.131056403256471725e+02
1.653087276883589756e-04,1.143485594501048297e+02
1.653087276883589756e-04,1.155914785745624869e+02
1.653087276883571054e-04,1.168343976990201440e+02
1.653087276883589756e-04,1.180773168234778154e+02
1.653087276883589756e-04,1.193202359479354726e+02
0.000000000000000000e+00,1.205631550723931298e+02
0.000000000000000000e+00,1.218060741968508012e+02
1.653087276883589756e-04,1.230489933213084583e+02
