# density, value
2.898475553238660796e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.047154649177704844e+00
0.000000000000000000e+00,2.094309298355409688e+00
0.000000000000000000e+00,3.141463947533114531e+00
0.000000000000000000e+00,4.188618596710819375e+00
0.000000000000000000e+00,5.235773245888523775e+00
0.000000000000000000e+00,6.282927895066229063e+00
0.000000000000000000e+00,7.330082544243934350e+00
0.000000000000000000e+00,8.377237193421638750e+00
6.763944679122202083e-03,9.424391842599343150e+00
1.352788935824438162e-02,1.047154649177704755e+01
1.277633994945304684e-02,1.151870114095475373e+01
1.528150464542423446e-02,1.256585579013245813e+01
1.352788935824438162e-02,1.361301043931016252e+01
1.778666934139541689e-02,1.466016508848786870e+01
1.628357052381270917e-02,1.570731973766557310e+01
1.302685641905014340e-02,1.675447438684327750e+01
1.528150464542426049e-02,1.780162903602098368e+01
1.202479054066167216e-02,1.884878368519868630e+01
1.503098817582714138e-02,1.989593833437639248e+01
1.503098817582708933e-02,2.094309298355409510e+01
1.628357052381268141e-02,2.199024763273180127e+01
1.678460346300697514e-02,2.303740228190950745e+01
1.052169172307896271e-02,2.408455693108721007e+01
1.603305405421556404e-02,2.513171158026491625e+01
1.427943876703578405e-02,2.617886622944262243e+01
1.452995523663285285e-02,2.722602087862032505e+01
1.402892229743861810e-02,2.827317552779803123e+01
1.628357052381273692e-02,2.932033017697573740e+01
1.102272466227319919e-02,3.036748482615344003e+01
1.402892229743866320e-02,3.141463947533114620e+01
1.377840582784149899e-02,3.246179412450884882e+01
1.653408699340979879e-02,3.350894877368655500e+01
1.478047170622997196e-02,3.455610342286426118e+01
1.277633994945311276e-02,3.560325807204196735e+01
1.202479054066167216e-02,3.665041272121966642e+01
1.377840582784149899e-02,3.769756737039737260e+01
1.102272466227319919e-02,3.874472201957507878e+01
1.077220819267608182e-02,3.979187666875278495e+01
1.152375760146751200e-02,4.083903131793049113e+01
1.027117525348184360e-02,4.188618596710819020e+01
1.002065878388472796e-02,4.293334061628589637e+01
1.027117525348184360e-02,4.398049526546360255e+01
8.517559966302018504e-03,4.502764991464130873e+01
9.269109375093372363e-03,4.607480456381901490e+01
1.252582347985599365e-02,4.712195921299672108e+01
1.002065878388472796e-02,4.816911386217442015e+01
7.264977618316426425e-03,4.921626851135212632e+01
1.002065878388472796e-02,5.026342316052983250e+01
8.267043496704899394e-03,5.131057780970753868e+01
7.264977618316475864e-03,5.235773245888524485e+01
7.515494087913544667e-03,5.340488710806294392e+01
9.519625844690489738e-03,5.445204175724065010e+01
6.513428209525071698e-03,5.549919640641835628e+01
7.014461148719309050e-03,5.654635105559606245e+01
8.016527027107782019e-03,5.759350570477376863e+01
6.012395270330876847e-03,5.864066035395147480e+01
6.262911739927954323e-03,5.968781500312917387e+01
5.010329391942363979e-03,6.073496965230688005e+01
5.761878800733717838e-03,6.178212430148458623e+01
3.507230574359654525e-03,6.282927895066229240e+01
4.509296452748157852e-03,6.387643359983999858e+01
7.264977618316376985e-03,6.492358824901769765e+01
4.258779983151037875e-03,6.597074289819541093e+01
2.755681165568318446e-03,6.701789754737311000e+01
4.258779983150979762e-03,6.806505219655080907e+01
3.006197635165438423e-03,6.911220684572852235e+01
3.256714104762514165e-03,7.015936149490622142e+01
3.256714104762558400e-03,7.120651614408393471e+01
2.505164695971198469e-03,7.225367079326163378e+01
3.006197635165397657e-03,7.330082544243933285e+01
3.757747043956797921e-03,7.434798009161704613e+01
1.252582347985582321e-03,7.539513474079474520e+01
1.252582347985599235e-03,7.644228938997245848e+01
1.753615287179838972e-03,7.748944403915015755e+01
2.254648226374048135e-03,7.853659868832785662e+01
2.254648226374078926e-03,7.958375333750556990e+01
1.252582347985582321e-03,8.063090798668326897e+01
1.753615287179838972e-03,8.167806263586098225e+01
1.503098817582719212e-03,8.272521728503868133e+01
1.002065878388465813e-03,8.377237193421638040e+01
5.010329391942397372e-04,8.481952658339409368e+01
1.252582347985582321e-03,8.586668123257179275e+01
5.010329391942397372e-04,8.691383588174950603e+01
2.505164695971164534e-04,8.796099053092720510e+01
1.252582347985599235e-03,8.900814518010491838e+01
7.515494087913596058e-04,9.005529982928261745e+01
2.505164695971164534e-04,9.110245447846031652e+01
5.010329391942397372e-04,9.214960912763802980e+01
2.505164695971164534e-04,9.319676377681572887e+01
2.505164695971198686e-04,9.424391842599344216e+01
7.515494087913596058e-04,9.529107307517114123e+01
1.252582347985582321e-03,9.633822772434884030e+01
1.503098817582719212e-03,9.738538237352655358e+01
1.753615287179815336e-03,9.843253702270425265e+01
7.515494087913596058e-04,9.947969167188196593e+01
2.505164695971198686e-04,1.005268463210596650e+02
2.505164695971164534e-04,1.015740009702373641e+02
5.010329391942397372e-04,1.026211556194150774e+02
2.505164695971164534e-04,1.036683102685927764e+02
