# density, value
3.204805020745730149e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.073889033959548822e+00
0.000000000000000000e+00,2.147778067919097644e+00
0.000000000000000000e+00,3.221667101878646466e+00
0.000000000000000000e+00,4.295556135838195289e+00
0.000000000000000000e+00,5.369445169797744555e+00
0.000000000000000000e+00,6.443334203757292933e+00
0.000000000000000000e+00,7.517223237716841311e+00
0.000000000000000000e+00,8.591112271676390577e+00
7.784051056634317192e-03,9.665001305635939843e+00
1.267688314937590911e-02,1.073889033959548911e+01
1.401129190194177164e-02,1.181277937355503660e+01
1.223208023185392776e-02,1.288666840751458587e+01
1.134247439681002403e-02,1.396055744147413513e+01
1.089767147928804442e-02,1.503444647543368262e+01
1.312168606689784883e-02,1.610833550939323189e+01
1.334408752565882997e-02,1.718222454335278115e+01
1.423369336070275278e-02,1.825611357731233042e+01
1.401129190194177164e-02,1.933000261127187969e+01
1.401129190194177164e-02,2.040389164523142895e+01
1.200967877309298652e-02,2.147778067919097822e+01
1.712491232459549886e-02,2.255166971315052393e+01
1.445609481946373218e-02,2.362555874711007320e+01
9.563262726722161072e-03,2.469944778106962247e+01
1.467849627822471331e-02,2.577333681502917173e+01
1.267688314937588830e-02,2.684722584898872100e+01
1.378889044318079050e-02,2.792111488294827026e+01
1.312168606689789394e-02,2.899500391690781953e+01
1.467849627822471331e-02,3.006889295086736524e+01
1.245448169061490890e-02,3.114278198482691451e+01
1.134247439680996852e-02,3.221667101878646378e+01
1.378889044318083734e-02,3.329056005274601659e+01
1.178727731433200539e-02,3.436444908670556231e+01
1.601290503079054114e-02,3.543833812066510802e+01
1.512329919574672416e-02,3.651222715462466084e+01
1.245448169061486553e-02,3.758611618858420655e+01
1.223208023185396766e-02,3.866000522254375937e+01
1.312168606689780720e-02,3.973389425650330509e+01
1.556810211326868469e-02,4.080778329046285791e+01
1.289928460813682780e-02,4.188167232442240362e+01
1.556810211326868469e-02,4.295556135838195644e+01
1.312168606689789394e-02,4.402945039234150215e+01
1.067527002052702859e-02,4.510333942630104787e+01
1.423369336070279961e-02,4.617722846026060068e+01
1.089767147928800799e-02,4.725111749422014640e+01
1.000806564424415630e-02,4.832500652817969922e+01
1.200967877309290673e-02,4.939889556213924493e+01
1.178727731433200539e-02,5.047278459609879775e+01
9.785664185483173433e-03,5.154667363005834346e+01
8.006452515395270572e-03,5.262056266401788918e+01
8.451255432917286620e-03,5.369445169797744200e+01
7.784051056634292039e-03,5.476834073193698771e+01
5.115233551502568719e-03,5.584222976589654053e+01
6.449642304068413899e-03,5.691611879985608624e+01
7.339248139112380942e-03,5.799000783381563906e+01
5.560036469024530990e-03,5.906389686777518477e+01
6.672043762829393300e-03,6.013778590173473049e+01
4.448029175219624445e-03,6.121167493569428331e+01
2.446416046370777312e-03,6.228556396965382902e+01
2.224014587609812223e-03,6.335945300361338184e+01
2.668817505131774927e-03,6.443334203757292755e+01
2.668817505131739799e-03,6.550723107153247327e+01
3.113620422653737198e-03,6.658112010549203319e+01
3.113620422653737198e-03,6.765500913945157890e+01
2.446416046370793358e-03,6.872889817341112462e+01
1.779211670087849952e-03,6.980278720737067033e+01
8.896058350439131580e-04,7.087667624133021604e+01
4.448029175219624879e-04,7.195056527528977597e+01
6.672043762829437319e-04,7.302445430924932168e+01
1.334408752565887464e-03,7.409834334320886740e+01
8.896058350439131580e-04,7.517223237716841311e+01
8.896058350439249758e-04,7.624612141112797303e+01
6.672043762829437319e-04,7.732001044508751875e+01
6.672043762829437319e-04,7.839389947904706446e+01
4.448029175219624879e-04,7.946778851300661017e+01
0.000000000000000000e+00,8.054167754696615589e+01
2.224014587609812440e-04,8.161556658092571581e+01
2.224014587609812440e-04,8.268945561488526153e+01
2.224014587609812440e-04,8.376334464884480724e+01
2.224014587609782895e-04,8.483723368280435295e+01
0.000000000000000000e+00,8.591112271676391288e+01
2.224014587609812440e-04,8.698501175072345859e+01
0.000000000000000000e+00,8.805890078468300430e+01
0.000000000000000000e+00,8.913278981864255002e+01
2.224014587609782895e-04,9.020667885260209573e+01
4.448029175219624879e-04,9.128056788656165565e+01
4.448029175219624879e-04,9.235445692052120137e+01
0.000000000000000000e+00,9.342834595448074708e+01
0.000000000000000000e+00,9.450223498844029280e+01
2.224014587609782895e-04,9.557612402239983851e+01
8.896058350439249758e-04,9.665001305635939843e+01
2.224014587609812440e-04,9.772390209031894415e+01
2.446416046370793358e-03,9.879779112427848986e+01
1.334408752565869900e-03,9.987168015823803557e+01
1.112007293804906111e-03,1.009455691921975955e+02
2.224014587609812440e-04,1.020194582261571412e+02
0.000000000000000000e+00,1.030933472601166869e+02
0.000000000000000000e+00,1.041672362940762326e+02
0.000000000000000000e+00,1.052411253280357784e+02
2.224014587609812440e-04,1.063150143619953383e+02
