# density, value
5.367956007835499727e-02,0.000000000000000000e+00
0.000000000000000000e+00,1.258720590648293669e+00
0.000000000000000000e+00,2.517441181296587338e+00
0.000000000000000000e+00,3.776161771944881007e+00
0.000000000000000000e+00,5.034882362593174676e+00
0.000000000000000000e+00,6.293602953241467901e+00
0.000000000000000000e+00,7.552323543889762014e+00
3.976263709507778981e-04,8.811044134538056127e+00
8.747780160917113107e-03,1.006976472518634935e+01
1.033828564472022600e-02,1.132848531583464258e+01
7.952527419015547119e-03,1.258720590648293580e+01
7.554901048064779738e-03,1.384592649713123080e+01
7.952527419015557528e-03,1.510464708777952403e+01
8.747780160917100964e-03,1.636336767842781725e+01
1.073591201567101854e-02,1.762208826907611225e+01
8.747780160917100964e-03,1.888080885972440370e+01
1.312167024137565231e-02,2.013952945037269870e+01
7.952527419015569671e-03,2.139825004102099371e+01
8.747780160917100964e-03,2.265697063166928515e+01
7.157274677114011489e-03,2.391569122231758016e+01
1.391692298327720616e-02,2.517441181296587160e+01
1.113353838662176597e-02,2.643313240361416661e+01
1.192879112852335451e-02,2.769185299426246161e+01
1.351929661232643097e-02,2.895057358491075306e+01
9.145406531867879621e-03,3.020929417555904806e+01
1.630268120898191800e-02,3.146801476620734306e+01
1.073591201567098731e-02,3.272673535685563451e+01
1.471217572517876174e-02,3.398545594750392951e+01
1.232641749947409847e-02,3.524417653815222451e+01
7.952527419015592222e-03,3.650289712880051951e+01
8.747780160917100964e-03,3.776161771944880741e+01
1.590505483803109424e-02,3.902033831009710241e+01
1.153116475757254289e-02,4.027905890074539741e+01
1.312167024137565231e-02,4.153777949139369241e+01
1.232641749947416786e-02,4.279650008204198741e+01
1.232641749947409847e-02,4.405522067269027531e+01
9.940659273769433465e-03,4.531394126333857031e+01
1.550742846708031732e-02,4.657266185398686531e+01
1.351929661232643097e-02,4.783138244463516031e+01
1.033828564472026937e-02,4.909010303528345531e+01
1.471217572517876174e-02,5.034882362593174321e+01
1.153116475757254289e-02,5.160754421658003821e+01
1.471217572517876174e-02,5.286626480722833321e+01
1.471217572517876174e-02,5.412498539787662821e+01
1.391692298327720616e-02,5.538370598852492321e+01
1.113353838662182842e-02,5.664242657917321822e+01
1.351929661232643097e-02,5.790114716982150611e+01
2.067657128944042425e-02,5.915986776046980111e+01
9.145406531867879621e-03,6.041858835111809611e+01
1.709793395088342327e-02,6.167730894176639111e+01
1.312167024137572691e-02,6.293602953241468612e+01
1.073591201567098731e-02,6.419475012306297401e+01
1.113353838662176597e-02,6.545347071371126901e+01
1.153116475757254289e-02,6.671219130435956401e+01
1.391692298327720616e-02,6.797091189500785902e+01
1.510980209612953866e-02,6.922963248565615402e+01
1.073591201567098731e-02,7.048835307630444902e+01
1.033828564472021212e-02,7.174707366695274402e+01
1.431454935422814614e-02,7.300579425760103902e+01
1.272404387042487366e-02,7.426451484824931981e+01
1.033828564472021212e-02,7.552323543889761481e+01
8.747780160917100964e-03,7.678195602954590981e+01
5.964395564261659906e-03,7.804067662019420482e+01
6.362021935212436828e-03,7.929939721084249982e+01
9.543032902818654808e-03,8.055811780149079482e+01
8.350153789966324042e-03,8.181683839213908982e+01
5.566769193310882984e-03,8.307555898278738482e+01
8.350153789966324042e-03,8.433427957343567982e+01
5.566769193310882984e-03,8.559300016408397482e+01
7.157274677114073072e-03,8.685172075473226982e+01
4.373890080458550482e-03,8.811044134538055062e+01
2.783384596655441492e-03,8.936916193602884562e+01
1.988131854753886780e-03,9.062788252667714062e+01
4.373890080458550482e-03,9.188660311732543562e+01
1.192879112852331851e-03,9.314532370797373062e+01
1.988131854753886780e-03,9.440404429862202562e+01
2.783384596655441492e-03,9.566276488927032062e+01
4.771516451409327404e-03,9.692148547991861562e+01
5.566769193310882984e-03,9.818020607056691063e+01
3.181010967606254410e-03,9.943892666121520563e+01
2.783384596655441492e-03,1.006976472518634864e+02
1.192879112852331851e-03,1.019563678425117814e+02
1.192879112852331851e-03,1.032150884331600764e+02
1.590505483803109207e-03,1.044738090238083714e+02
7.952527419015546035e-04,1.057325296144566664e+02
7.952527419015546035e-04,1.069912502051049614e+02
3.976263709507773018e-04,1.082499707957532564e+02
7.952527419015546035e-04,1.095086913864015514e+02
3.976263709507773018e-04,1.107674119770498464e+02
1.192879112852331851e-03,1.120261325676981414e+02
3.976263709507818012e-04,1.132848531583464364e+02
3.976263709507773018e-04,1.145435737489947172e+02
3.976263709507773018e-04,1.158022943396430122e+02
0.000000000000000000e+00,1.170610149302913072e+02
3.976263709507773018e-04,1.183197355209396022e+02
0.000000000000000000e+00,1.195784561115878972e+02
0.000000000000000000e+00,1.208371767022361922e+02
7.952527419015546035e-04,1.220958972928844872e+02
0.000000000000000000e+00,1.233546178835327822e+02
3.976263709507773018e-04,1.246133384741810772e+02
