# density, value
1.784374870966114746e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.220500265584785637e+00
0.000000000000000000e+00,2.441000531169571275e+00
0.000000000000000000e+00,3.661500796754356912e+00
0.000000000000000000e+00,4.882001062339142550e+00
0.000000000000000000e+00,6.102501327923928187e+00
0.000000000000000000e+00,7.323001593508713825e+00
0.000000000000000000e+00,8.543501859093499462e+00
1.091164489439710311e-02,9.764002124678285099e+00
1.187443709096155410e-02,1.098450239026307074e+01
1.347909075190230517e-02,1.220500265584785637e+01
1.026978343002080303e-02,1.342550292143264201e+01
1.187443709096155410e-02,1.464600318701742765e+01
1.315816001971415253e-02,1.586650345260221329e+01
9.948852697832652123e-03,1.708700371818699892e+01
8.665129769080053695e-03,1.830750398377178456e+01
1.059071416220895394e-02,1.952800424935657020e+01
1.283722928752600335e-02,2.074850451494135584e+01
9.306991233456353776e-03,2.196900478052614147e+01
9.306991233456353776e-03,2.318950504611092711e+01
1.091164489439710311e-02,2.441000531169571275e+01
1.219536782314970327e-02,2.563050557728049839e+01
1.315816001971415253e-02,2.685100584286528402e+01
8.344199036891902788e-03,2.807150610845006966e+01
1.444188294846675616e-02,2.929200637403485530e+01
1.283722928752600335e-02,3.051250663961964094e+01
1.476281368065494697e-02,3.173300690520442657e+01
1.347909075190226354e-02,3.295350717078920866e+01
1.251629855533781775e-02,3.417400743637399785e+01
8.344199036891927074e-03,3.539450770195878704e+01
9.627921965644530705e-03,3.661500796754356912e+01
1.380002148409041444e-02,3.783550823312835121e+01
1.283722928752596693e-02,3.905600849871314040e+01
1.283722928752604152e-02,4.027650876429792959e+01
1.476281368065494697e-02,4.149700902988271167e+01
1.219536782314966858e-02,4.271750929546749376e+01
1.508374441284301114e-02,4.393800956105228295e+01
1.315816001971419243e-02,4.515850982663707214e+01
1.187443709096158879e-02,4.637901009222185422e+01
1.412095221627856362e-02,4.759951035780663631e+01
9.306991233456326021e-03,4.882001062339142550e+01
1.123257562658528524e-02,5.004051088897621469e+01
9.627921965644530705e-03,5.126101115456099677e+01
1.091164489439707189e-02,5.248151142014577886e+01
1.251629855533781775e-02,5.370201168573056805e+01
1.123257562658528524e-02,5.492251195131535724e+01
1.155350635877343789e-02,5.614301221690013932e+01
1.026978343002077354e-02,5.736351248248492141e+01
1.347909075190226354e-02,5.858401274806971060e+01
9.627921965644530705e-03,5.980451301365449979e+01
1.091164489439713434e-02,6.102501327923928187e+01
7.060476108139281809e-03,6.224551354482406396e+01
6.097683911574834290e-03,6.346601381040885315e+01
8.023268304703823003e-03,6.468651407599364234e+01
8.344199036891878501e-03,6.590701434157841732e+01
6.739545375951131768e-03,6.712751460716320651e+01
1.026978343002077354e-02,6.834801487274799570e+01
6.739545375951131768e-03,6.956851513833278489e+01
5.455822447198599261e-03,7.078901540391757408e+01
7.381406840327430115e-03,7.200951566950234906e+01
5.776753179386685116e-03,7.323001593508713825e+01
3.851168786257834747e-03,7.445051620067192744e+01
5.776753179386685116e-03,7.567101646625670242e+01
2.246515125317044212e-03,7.689151673184149161e+01
3.209307321881491731e-03,7.811201699742628080e+01
9.627921965644475194e-04,7.933251726301106999e+01
2.246515125317070233e-03,8.055301752859585918e+01
1.925584393128895039e-03,8.177351779418063416e+01
2.246515125317044212e-03,8.299401805976542335e+01
1.283722928752611655e-03,8.421451832535021254e+01
1.604653660940745866e-03,8.543501859093498751e+01
1.604653660940745866e-03,8.665551885651977670e+01
3.851168786257790078e-03,8.787601912210456589e+01
1.604653660940745866e-03,8.909651938768935509e+01
1.604653660940764731e-03,9.031701965327414428e+01
2.246515125317044212e-03,9.153751991885891925e+01
1.925584393128895039e-03,9.275802018444370844e+01
1.604653660940764731e-03,9.397852045002849763e+01
3.209307321881491731e-04,9.519902071561327261e+01
1.925584393128895039e-03,9.641952098119806180e+01
4.172099518445939251e-03,9.764002124678285099e+01
4.493030250634088424e-03,9.886052151236764018e+01
2.246515125317070233e-03,1.000810217779524294e+02
1.604653660940745866e-03,1.013015220435372044e+02
3.209307321881491731e-03,1.025220223091219935e+02
1.283722928752611655e-03,1.037425225747067827e+02
6.418614643762983463e-04,1.049630228402915577e+02
0.000000000000000000e+00,1.061835231058763469e+02
9.627921965644475194e-04,1.074040233714611361e+02
3.209307321881491731e-04,1.086245236370459253e+02
3.209307321881529136e-04,1.098450239026307145e+02
3.209307321881491731e-04,1.110655241682154895e+02
3.209307321881491731e-04,1.122860244338002786e+02
0.000000000000000000e+00,1.135065246993850678e+02
6.418614643762983463e-04,1.147270249649698428e+02
6.418614643762983463e-04,1.159475252305546320e+02
6.418614643762983463e-04,1.171680254961394212e+02
0.000000000000000000e+00,1.183885257617242104e+02
3.209307321881529136e-04,1.196090260273089996e+02
6.418614643762983463e-04,1.208295262928937746e+02
