# density, value
1.863284801557573700e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.396855555227892065e+00
0.000000000000000000e+00,2.793711110455784130e+00
0.000000000000000000e+00,4.190566665683675751e+00
0.000000000000000000e+00,5.587422220911568260e+00
0.000000000000000000e+00,6.984277776139460769e+00
0.000000000000000000e+00,8.381133331367351502e+00
8.685989300493949031e-03,9.777988886595244011e+00
1.428985336532875676e-02,1.117484444182313652e+01
1.176811453615309380e-02,1.257169999705102903e+01
1.372946695884529229e-02,1.396855555227892154e+01
1.709178539774617797e-02,1.536541110750681227e+01
1.148792133291133902e-02,1.676226666273470300e+01
1.064734172318614405e-02,1.815912221796259729e+01
1.148792133291133902e-02,1.955597777319048802e+01
1.204830773939484859e-02,2.095283332841838231e+01
1.036714851994440488e-02,2.234968888364627304e+01
1.372946695884525933e-02,2.374654443887416377e+01
1.316908055236181221e-02,2.514339999410205806e+01
1.344927375560351669e-02,2.654025554932994879e+01
1.344927375560355312e-02,2.793711110455784308e+01
1.428985336532877411e-02,2.933396665978573381e+01
1.400966016208699851e-02,3.073082221501362454e+01
1.092753492642791271e-02,3.212767777024151883e+01
1.372946695884525933e-02,3.352453332546940601e+01
1.176811453615307819e-02,3.492138888069730029e+01
1.344927375560351669e-02,3.631824443592519458e+01
1.232850094263662072e-02,3.771509999115308887e+01
1.288888734912003835e-02,3.911195554638097605e+01
1.204830773939481910e-02,4.050881110160887033e+01
1.260869414587836163e-02,4.190566665683676462e+01
1.372946695884525933e-02,4.330252221206465180e+01
1.344927375560351669e-02,4.469937776729254608e+01
9.246375706977465539e-03,4.609623332252044037e+01
1.176811453615307819e-02,4.749308887774832755e+01
1.092753492642785720e-02,4.888994443297622183e+01
1.120772812966965536e-02,5.028679998820411612e+01
1.092753492642785720e-02,5.168365554343200330e+01
8.966182503735679529e-03,5.308051109865989758e+01
1.036714851994437712e-02,5.447736665388779187e+01
5.884057268076568585e-03,5.587422220911568616e+01
5.884057268076539095e-03,5.727107776434357334e+01
8.685989300493938622e-03,5.866793331957146762e+01
6.444443674560051266e-03,6.006478887479936191e+01
6.164250471318279134e-03,6.146164443002724909e+01
7.845409690768717637e-03,6.285849998525514337e+01
4.202898048626120542e-03,6.425535554048303766e+01
7.565216487527018363e-03,6.565221109571092484e+01
4.483091251867816346e-03,6.704906665093881202e+01
4.763284455109604090e-03,6.844592220616671341e+01
6.164250471318247909e-03,6.984277776139460059e+01
3.362318438900896520e-03,7.123963331662250198e+01
3.362318438900896520e-03,7.263648887185038916e+01
2.801932032417385216e-03,7.403334442707827634e+01
1.681159219450448260e-03,7.543019998230617773e+01
3.642511642142637861e-03,7.682705553753406491e+01
3.082125235659123955e-03,7.822391109276195209e+01
1.961352422692189817e-03,7.962076664798985348e+01
1.961352422692189817e-03,8.101762220321774066e+01
2.241545625933908173e-03,8.241447775844562784e+01
4.202898048626120542e-03,8.381133331367352923e+01
1.961352422692189817e-03,8.520818886890141641e+01
2.241545625933908173e-03,8.660504442412930359e+01
3.082125235659155180e-03,8.800189997935720498e+01
1.120772812966965362e-03,8.939875553458509216e+01
2.521738829175646911e-03,9.079561108981297934e+01
2.801932032417413839e-03,9.219246664504088073e+01
5.603864064834826811e-04,9.358932220026876792e+01
1.681159219450431347e-03,9.498617775549665510e+01
1.120772812966965362e-03,9.638303331072455649e+01
8.405796097252241300e-04,9.777988886595244367e+01
1.400966016208692608e-03,9.917674442118033085e+01
1.400966016208706920e-03,1.005735999764082322e+02
1.400966016208706920e-03,1.019704555316361194e+02
2.241545625933908173e-03,1.033673110868640066e+02
0.000000000000000000e+00,1.047641666420919080e+02
5.603864064834826811e-04,1.061610221973197952e+02
5.603864064834770432e-04,1.075578777525476823e+02
5.603864064834826811e-04,1.089547333077755837e+02
2.801932032417385216e-04,1.103515888630034709e+02
8.405796097252241300e-04,1.117484444182313723e+02
0.000000000000000000e+00,1.131452999734592595e+02
0.000000000000000000e+00,1.145421555286871467e+02
0.000000000000000000e+00,1.159390110839150481e+02
0.000000000000000000e+00,1.173358666391429352e+02
2.801932032417385216e-04,1.187327221943708224e+02
5.603864064834826811e-04,1.201295777495987238e+02
2.801932032417413405e-04,1.215264333048266110e+02
0.000000000000000000e+00,1.229232888600544982e+02
2.801932032417413405e-04,1.243201444152823996e+02
0.000000000000000000e+00,1.257169999705102867e+02
2.801932032417385216e-04,1.271138555257381739e+02
0.000000000000000000e+00,1.285107110809660753e+02
0.000000000000000000e+00,1.299075666361939625e+02
0.000000000000000000e+00,1.313044221914218497e+02
0.000000000000000000e+00,1.327012777466497369e+02
0.000000000000000000e+00,1.340981333018776240e+02
0.000000000000000000e+00,1.354949888571055396e+02
0.000000000000000000e+00,1.368918444123334268e+02
2.801932032417413405e-04,1.382886999675613140e+02
