# density, value
3.591962243439763419e-02,0.000000000000000000e+00
0.000000000000000000e+00,1.491619582016842305e+00
0.000000000000000000e+00,2.983239164033684609e+00
0.000000000000000000e+00,4.474858746050527358e+00
0.000000000000000000e+00,5.966478328067369219e+00
0.000000000000000000e+00,7.458097910084211080e+00
2.097496200548767172e-03,8.949717492101054717e+00
2.621870250685959074e-03,1.044133707411789658e+01
6.554675626714897251e-03,1.193295665613473844e+01
6.554675626714897251e-03,1.342457623815158030e+01
4.719366451234726680e-03,1.491619582016842216e+01
7.865610752057857272e-03,1.640781540218526402e+01
9.700919927538048659e-03,1.789943498420210943e+01
8.389984802195068689e-03,1.939105456621895129e+01
1.101185505288102863e-02,2.088267414823579315e+01
8.127797777126473389e-03,2.237429373025263502e+01
8.652171827263663989e-03,2.386591331226947688e+01
9.438732902469453359e-03,2.535753289428631874e+01
8.914358852332261024e-03,2.684915247630316060e+01
9.700919927538048659e-03,2.834077205832000246e+01
9.176545877400835508e-03,2.983239164033684432e+01
1.074966802781245762e-02,3.132401122235368973e+01
1.337153827849836031e-02,3.281563080437052804e+01
1.179841612808678851e-02,3.430725038638737345e+01
1.284716422836122869e-02,3.579886996840421887e+01
1.520684745397852741e-02,3.729048955042105717e+01
1.389591232863561510e-02,3.878210913243790259e+01
1.389591232863555091e-02,4.027372871445474090e+01
1.179841612808684402e-02,4.176534829647158631e+01
1.468247340384133508e-02,4.325696787848842462e+01
1.546903447904719557e-02,4.474858746050527003e+01
9.438732902469430808e-03,4.624020704252210834e+01
1.206060315315538208e-02,4.773182662453895375e+01
1.599340852918438791e-02,4.922344620655579917e+01
1.546903447904712271e-02,5.071506578857263747e+01
1.179841612808684402e-02,5.220668537058948289e+01
1.127404207794959617e-02,5.369830495260632119e+01
9.700919927538072945e-03,5.518992453462316661e+01
1.546903447904712271e-02,5.668154411664000492e+01
8.914358852332281841e-03,5.817316369865685033e+01
1.730434365452728981e-02,5.966478328067368864e+01
1.337153827849836031e-02,6.115640286269053405e+01
1.284716422836122869e-02,6.264802244470737946e+01
1.520684745397859854e-02,6.413964202672421777e+01
1.153622910301813770e-02,6.563126160874105608e+01
1.310935125342982746e-02,6.712288119075790860e+01
1.153622910301824872e-02,6.861450077277474691e+01
1.179841612808673126e-02,7.010612035479158521e+01
1.206060315315544106e-02,7.159773993680843773e+01
1.546903447904719557e-02,7.308935951882527604e+01
1.153622910301824872e-02,7.458097910084211435e+01
7.341236701920632844e-03,7.607259868285895266e+01
9.963106952606668246e-03,7.756421826487580518e+01
8.127797777126492471e-03,7.905583784689264348e+01
9.176545877400878876e-03,8.054745742890948179e+01
1.048748100274376170e-02,8.203907701092632010e+01
7.079049676852106933e-03,8.353069659294317262e+01
7.865610752057895436e-03,8.502231617496001093e+01
8.652171827263603274e-03,8.651393575697684923e+01
4.981553476303334123e-03,8.800555533899370175e+01
4.719366451234737955e-03,8.949717492101054006e+01
2.359683225617368978e-03,9.098879450302737837e+01
5.243740501371880851e-03,9.248041408504421668e+01
4.457179426166140920e-03,9.397203366706106920e+01
4.457179426166140920e-03,9.546365324907790750e+01
3.408431325891722423e-03,9.695527283109474581e+01
5.505927526440527325e-03,9.844689241311159833e+01
3.670618350960351117e-03,9.993851199512843664e+01
1.835309175480175558e-03,1.014301315771452749e+02
2.884057275754534425e-03,1.029217511591621133e+02
2.097496200548772376e-03,1.044133707411789658e+02
2.097496200548772376e-03,1.059049903231958041e+02
2.097496200548752427e-03,1.073966099052126424e+02
1.573122150411579174e-03,1.088882294872294949e+02
1.310935125342982573e-03,1.103798490692463332e+02
7.865610752057895869e-04,1.118714686512631715e+02
7.865610752057821059e-04,1.133630882332800098e+02
1.573122150411579174e-03,1.148547078152968623e+02
1.048748100274386188e-03,1.163463273973137007e+02
2.621870250685965470e-04,1.178379469793305390e+02
1.048748100274376214e-03,1.193295665613473773e+02
1.310935125342982573e-03,1.208211861433642298e+02
2.621870250685965470e-04,1.223128057253810681e+02
2.621870250685940534e-04,1.238044253073979064e+02
7.865610752057895869e-04,1.252960448894147589e+02
1.048748100274386188e-03,1.267876644714315972e+02
0.000000000000000000e+00,1.282792840534484355e+02
0.000000000000000000e+00,1.297709036354652881e+02
0.000000000000000000e+00,1.312625232174821122e+02
2.621870250685940534e-04,1.327541427994989647e+02
0.000000000000000000e+00,1.342457623815158172e+02
0.000000000000000000e+00,1.357373819635326413e+02
0.000000000000000000e+00,1.372290015455494938e+02
0.000000000000000000e+00,1.387206211275663463e+02
0.000000000000000000e+00,1.402122407095831704e+02
2.621870250685940534e-04,1.417038602916000229e+02
0.000000000000000000e+00,1.431954798736168755e+02
0.000000000000000000e+00,1.446870994556336996e+02
0.000000000000000000e+00,1.461787190376505521e+02
2.621870250685940534e-04,1.476703386196673762e+02
