# density, value
9.475862158938820612e-02,0.000000000000000000e+00
0.000000000000000000e+00,2.095171516042715787e+00
0.000000000000000000e+00,4.190343032085431574e+00
0.000000000000000000e+00,6.285514548128147361e+00
0.000000000000000000e+00,8.380686064170863148e+00
3.994040952134379503e-04,1.047585758021357805e+01
8.986592142302353339e-04,1.257102909625629472e+01
2.995530714100787337e-04,1.466620061229901140e+01
3.994040952134382755e-04,1.676137212834172630e+01
5.991061428201574675e-04,1.885654364438444119e+01
1.198212285640312983e-03,2.095171516042715609e+01
1.397914333247034019e-03,2.304688667646987454e+01
1.098361261836955285e-03,2.514205819251258944e+01
1.198212285640312983e-03,2.723722970855530434e+01
1.298063309443674368e-03,2.933240122459802279e+01
1.397914333247034019e-03,3.142757274064073769e+01
1.497765357050391067e-03,3.352274425668345259e+01
1.897169452263835088e-03,3.561791577272617104e+01
2.296573547477266317e-03,3.771308728876888239e+01
1.697467404657115571e-03,3.980825880481160084e+01
2.396424571280625967e-03,4.190343032085431219e+01
3.095381737904141783e-03,4.399860183689703064e+01
2.695977642690712724e-03,4.609377335293974909e+01
2.995530714100782133e-03,4.818894486898246043e+01
3.195232761707501000e-03,5.028411638502517889e+01
4.293594023544468861e-03,5.237928790106789734e+01
1.997020476067188233e-03,5.447445941711060868e+01
4.193742999741094900e-03,5.656963093315332713e+01
3.095381737904152192e-03,5.866480244919604559e+01
4.193742999741094900e-03,6.075997396523875693e+01
3.894189928331016817e-03,6.285514548128147538e+01
3.494785833117590793e-03,6.495031699732419384e+01
5.391955285381425447e-03,6.704548851336690518e+01
6.390465523414980316e-03,6.914066002940961653e+01
5.891210404398224999e-03,7.123583154545234208e+01
6.090912452004944300e-03,7.333100306149505343e+01
6.889720642431776398e-03,7.542617457753776478e+01
5.991061428201584216e-03,7.752134609358049033e+01
5.791359380594864915e-03,7.961651760962320168e+01
4.493296071151189029e-03,8.171168912566591302e+01
6.190763475808262750e-03,8.380686064170862437e+01
7.289124737645261837e-03,8.590203215775134993e+01
5.591657332988145615e-03,8.799720367379406127e+01
5.791359380594825884e-03,9.009237518983677262e+01
7.189273713841901753e-03,9.218754670587949818e+01
6.190763475808304384e-03,9.428271822192220952e+01
7.089422690038493097e-03,9.637788973796492087e+01
7.788379856662060521e-03,9.847306125400764643e+01
7.688528832858699570e-03,1.005682327700503578e+02
6.889720642431776398e-03,1.026634042860930691e+02
7.089422690038540802e-03,1.047585758021357947e+02
7.788379856662060521e-03,1.068537473181785060e+02
6.889720642431776398e-03,1.089489188342212174e+02
8.587188047088937723e-03,1.110440903502639429e+02
7.289124737645261837e-03,1.131392618663066543e+02
6.789869618628416315e-03,1.152344333823493656e+02
7.488826785251980270e-03,1.173296048983920912e+02
6.789869618628462285e-03,1.194247764144348025e+02
7.289124737645261837e-03,1.215199479304775139e+02
7.688528832858647528e-03,1.236151194465202252e+02
8.187783951875499122e-03,1.257102909625629508e+02
7.089422690038493097e-03,1.278054624786056621e+02
6.190763475808304384e-03,1.299006339946483877e+02
6.590167571021742984e-03,1.319958055106910990e+02
7.089422690038540802e-03,1.340909770267338104e+02
7.089422690038540802e-03,1.361861485427765217e+02
5.591657332988145615e-03,1.382813200588192331e+02
5.791359380594786853e-03,1.403764915748619444e+02
6.390465523415023684e-03,1.424716630909046842e+02
5.791359380594864915e-03,1.445668346069473955e+02
6.090912452004944300e-03,1.466620061229901069e+02
5.192253237774707014e-03,1.487571776390328182e+02
4.393445047347828945e-03,1.508523491550755296e+02
5.491806309184711805e-03,1.529475206711182409e+02
5.092402213971346930e-03,1.550426921871609807e+02
5.292104261578066231e-03,1.571378637032036920e+02
3.794338904527670177e-03,1.592330352192464034e+02
5.691508356791504832e-03,1.613282067352891147e+02
3.195232761707511842e-03,1.634233782513318260e+02
3.594636856920950876e-03,1.655185497673745374e+02
2.296573547477242898e-03,1.676137212834172487e+02
2.795828666494072808e-03,1.697088927994599885e+02
2.296573547477274123e-03,1.718040643155026999e+02
3.195232761707511842e-03,1.738992358315454112e+02
1.797318428460475438e-03,1.759944073475881225e+02
1.098361261836957236e-03,1.780895788636308339e+02
1.298063309443658973e-03,1.801847503796735452e+02
1.098361261836957236e-03,1.822799218957162850e+02
9.985102380335973693e-04,1.843750934117589964e+02
1.397914333247036404e-03,1.864702649278017077e+02
4.992551190167986847e-04,1.885654364438444190e+02
7.988081904268779605e-04,1.906606079598871304e+02
4.992551190167919626e-04,1.927557794759298417e+02
7.988081904268779605e-04,1.948509509919725815e+02
5.991061428201585517e-04,1.969461225080152929e+02
6.989571666235182019e-04,1.990412940240580042e+02
2.995530714100792758e-04,2.011364655401007155e+02
4.992551190167986847e-04,2.032316370561434269e+02
2.995530714100792758e-04,2.053268085721861382e+02
1.997020476067167796e-04,2.074219800882288496e+02
