# density, value
9.316138670946508271e-03,0.000000000000000000e+00
0.000000000000000000e+00,1.813185965615912831e+00
0.000000000000000000e+00,3.626371931231825663e+00
0.000000000000000000e+00,5.439557896847738050e+00
0.000000000000000000e+00,7.252743862463651325e+00
6.521297069662560343e-04,9.065929828079564601e+00
3.167487148121811771e-03,1.087911579369547610e+01
3.074325761412346949e-03,1.269230175931138938e+01
3.260648534831280497e-03,1.450548772492730265e+01
4.378585175344853163e-03,1.631867369054321415e+01
4.844392108892188117e-03,1.813185965615912920e+01
4.751230722182722861e-03,1.994504562177504070e+01
6.055490136115223437e-03,2.175823158739095220e+01
6.987104003209886408e-03,2.357141755300686725e+01
8.105040643723452135e-03,2.538460351862277875e+01
5.962328749405770324e-03,2.719778948423869380e+01
8.757170350689725408e-03,2.901097544985460530e+01
6.707619843081490639e-03,3.082416141547051680e+01
6.707619843081477629e-03,3.263734738108642830e+01
9.222977284237031739e-03,3.445053334670234335e+01
1.015459115133172073e-02,3.626371931231825840e+01
8.105040643723452135e-03,3.807690527793416635e+01
8.943493124108638573e-03,3.989009124355008140e+01
9.222977284237068168e-03,4.170327720916599645e+01
1.062039808487900625e-02,4.351646317478190440e+01
1.350840107287241965e-02,4.532964914039781945e+01
1.108620501842633166e-02,4.714283510601373450e+01
1.266994859248728525e-02,4.895602107162964955e+01
1.313575552603456036e-02,5.076920703724555750e+01
1.052723669816954186e-02,5.258239300286147255e+01
1.294943275261568015e-02,5.439557896847738760e+01
1.257678720577777055e-02,5.620876493409329555e+01
1.369472384629135189e-02,5.802195089970921060e+01
1.285627136590621576e-02,5.983513686532512565e+01
1.266994859248723494e-02,6.164832283094103360e+01
1.527846742035231589e-02,6.346150879655694865e+01
1.229730304564937565e-02,6.527469476217285660e+01
1.285627136590616545e-02,6.708788072778877165e+01
1.276310997919670107e-02,6.890106669340468670e+01
1.052723669816954186e-02,7.071425265902060175e+01
1.350840107287241965e-02,7.252743862463651681e+01
1.034091392475069288e-02,7.434062459025243186e+01
1.211098027223044687e-02,7.615381055586833270e+01
1.117936640513579605e-02,7.796699652148424775e+01
9.316138670946497863e-03,7.978018248710016280e+01
9.502461444365426640e-03,8.159336845271607785e+01
9.688784217784357153e-03,8.340655441833199291e+01
9.222977284237104598e-03,8.521974038394790796e+01
7.639233710176127588e-03,8.703292634956380880e+01
7.639233710176127588e-03,8.884611231517972385e+01
7.918717870304521622e-03,9.065929828079563890e+01
7.918717870304521622e-03,9.247248424641155395e+01
7.080265389919338653e-03,9.428567021202746901e+01
8.664008963980241937e-03,9.609885617764338406e+01
8.011879257014050196e-03,9.791204214325929911e+01
6.987104003209873397e-03,9.972522810887519995e+01
6.987104003209873397e-03,1.015384140744911150e+02
6.987104003209873397e-03,1.033516000401070301e+02
6.334974296243617471e-03,1.051647860057229451e+02
5.776005975986828536e-03,1.069779719713388602e+02
4.471746562054353981e-03,1.087911579369547752e+02
4.844392108892178576e-03,1.106043439025706761e+02
3.446971308250204070e-03,1.124175298681865911e+02
4.099101015216458262e-03,1.142307158338025062e+02
3.540132694959669327e-03,1.160439017994184212e+02
4.099101015216458262e-03,1.178570877650343363e+02
2.701680214574484189e-03,1.196702737306502513e+02
2.794841601283970696e-03,1.214834596962661664e+02
1.956389120898764308e-03,1.232966456618820672e+02
2.235873281027159643e-03,1.251098316274979823e+02
2.235873281027159643e-03,1.269230175931138973e+02
1.304259413932519658e-03,1.287362035587298124e+02
1.397420800641963447e-03,1.305493895243457132e+02
1.024775253804122805e-03,1.323625754899616425e+02
1.211098027223035103e-03,1.341757614555775433e+02
1.117936640513588495e-03,1.359889474211934726e+02
8.384524803851913172e-04,1.378021333868093734e+02
1.024775253804106759e-03,1.396153193524252742e+02
5.589683202567942476e-04,1.414285053180412035e+02
6.521297069662496376e-04,1.432416912836571043e+02
4.658069335473284493e-04,1.450548772492730336e+02
6.521297069662496376e-04,1.468680632148889345e+02
1.863227734189314068e-04,1.486812491805048637e+02
6.521297069662598291e-04,1.504944351461207646e+02
5.589683202567854656e-04,1.523076211117366654e+02
3.726455468378628137e-04,1.541208070773525947e+02
1.863227734189284795e-04,1.559339930429684955e+02
3.726455468378628137e-04,1.577471790085844248e+02
3.726455468378569590e-04,1.595603649742003256e+02
9.316138670946570342e-05,1.613735509398162549e+02
0.000000000000000000e+00,1.631867369054321557e+02
9.316138670946423974e-05,1.649999228710480565e+02
1.863227734189314068e-04,1.668131088366639858e+02
0.000000000000000000e+00,1.686262948022798867e+02
1.863227734189314068e-04,1.704394807678958159e+02
0.000000000000000000e+00,1.722526667335117168e+02
9.316138670946423974e-05,1.740658526991276176e+02
9.316138670946570342e-05,1.758790386647435469e+02
9.316138670946423974e-05,1.776922246303594477e+02
9.316138670946570342e-05,1.795054105959753770e+02
