dataid,total_square_footage,first_floor_square_footage,second_floor_square_footage
1283,2679.5,2679.5,
1415,1720,1720,0
1792,2001,1435,566
2449,1576,778,798
2470,1544,1096,448
2792,3249,,
2925,2293.5,2293.5,
2965,1720,,
2980,1556,1556,0
2986,2310,,
3134,1240,,
3527,2075,,
3538,1720,1720,0
3635,2521,2521,0
3719,2843,,
3723,1544,,
3935,1544,1096,448
4193,2669,,
4373,2122,,
4526,2521,1476,1045
4732,1422,,
4743,2071.5,680.5,1028
5129,1439,1439,0
5246,1994,,
5395,1556,,
5484,,,
5738,2843,1457,1386
5796,1720,1720,0
5921,2001,1435,566
6473,,,
6578,2020,,
6685,1539,576,963
7108,1435,602,833
7460,,,
7627,2669,1455,1214
7682,1948,,
7739,1439,1439,0
7741,1842,1379,463
7800,2075,2075,
7813,1576,,
7850,2345,1385,960
7900,2631.5,2631.5,0
7919,3246,1706,1540
7965,3242,1540,1702
8156,2669,1455,1214
8386,1720,1720,
8467,3165,,
9052,2345,1385,960
9620,2345,1385,960
9971,2938,1459,1479
9982,1422,1422,
1508,2122,,
3632,1720,1720,
6498,2164,1106,1058
1632,2244,,
3392,2053,,
5210,1027,1027,0
991,2919,1401,1518
7856,,,
6979,1946,1001,945
6112,,,
7794,2345,1385,960
7117,2122,1162,960
8059,2006,1556,450
77,2669,1455,1214
1413,,,
1791,2631.5,2631.5,0
1947,1419,1419,
2072,3023,1473,1550
3301,,,
3849,2297,2297,
4029,3023,1473,1550
4352,1946,1001,945
4356,,,
4514,2122,1162,960
5131,,,
7566,,,
7767,1252,1252,0
8086,2919,1401,1518
8419,2962,1603,1359
8911,,,
8956,1240,620,620
9248,3754,1920,1665
9278,3015,1497,1518
7304,,,
285,2919,1401,1518
4874,2021,1383,638
5677,996,,
946,2074,1008,1066
1473,,,
6773,,,
7641,2122,1162,960
6524,,,
3146,,,
7510,3780,1939,1841
4641,1518,759,759
8292,2377,1508,869
9849,,,
9830,1905,1905,0
7881,1411,1411,
6826,1248,514,734
1042,,,
417,,,
2615,,,
4187,,,
6182,,,
9875,1241,,
6121,2174,972,1202
1556,,,
4092,,,
4946,2212,1190,1022
9944,,,
1619,,,
8197,3951.5,2390,1561.5
4957,3381,2135,1246
3500,3090,2000,1090
5357,3225,3225,
4213,1674,245,1429
9613,1597,1597,0
3235,1168,1168,
2946,,,
9141,1933,1933,0
2242,3489,2097,1392
4575,1834,1066,768
2974,3442,2347,1095
5568,3497,2199,1298
3036,2100.5,709.5,1028
5164,4513,4513,
520,,,
1681,1456,1456,
3829,2385,2385,
7419,,,
9771,3364,1544,1820
8079,3131,1892,1239
5814,1080,,
9474,1994,1001,993
6692,2521,2521,0
580,1770,1770,
5636,,,
9701,1184.5,602,582.5
26,2075,2075,0
5412,,,
6072,1636,,
160,1018,,
9578,1656,1656,0
8703,1439,1439,0
9484,3043,1790,1253
2769,1505,1505,0
434,2158,1189,969
8071,6160,6160,
6418,2363,2363,
3504,1862,,
222,2226,2226,0
773,,,
1507,2892,2342,550
2034,1919,1919,0
3893,2699,1559,1140
6407,,,
6412,3877,2381,1496
7287,1964,1964,
9295,3062,3062,0
9639,2052,2052,
1551,1184.5,602,582.5
1086,1196,1196,0
2641,1115,1115,0
5209,1733,1328,405
6576,,,
7319,3108,1764,1344
7901,2122,,
6101,1435,602,833
7096,,,
7674,,,
3805,,,
5102,,,
4252,,,
8565,1998,1052,946
1518,,,
2647,,,
6103,,,
5109,2920,1890,1030
7017,3249,1532,1717
7281,2208,2208,
1644,2902,2902,
4686,,,
1853,2570,2570,
2797,1560,1560,
3616,2400,2400,
3652,2724,2724,
7368,3097,2165,932
7645,1970,1970,
7826,3200,3200,
8115,1830,1830,
8437,5557,5076,481
8855,1270,1270,
8943,,,
1575,2270,2270,
1995,2270,2270,
2250,3140,3140,
5752,2350,2350,
5392,1908,1908,
7524,,,
6420,,,
8589,2120,1720,400
9956,,,
2929,1552,1552,
2540,,,
4067,1240,1240,
5045,2274,1167,1107
5490,1851,1851,
5827,1874,1874,
6890,3190,3190,
8314,2300,2300,
469,1972,1972,
8544,1800,1800,
2845,2514,2514,
1704,1879,1879,
2715,3390,3390,
72,2411,2411,
3340,,,
5555,2489,2489,
2112,1979,1979,
4826,,,
7875,3028,1268,1296
8645,1142,1142,0
3044,3383,2230,1153
7030,2122,1162,960
2557,3400,2632,0
3736,1790,1790,
3922,2950,2950,
1010,3470,3470,
3092,4150,4150,
6617,2560,2560,
9751,2910,2910,
1039,,,
3572,,,
4894,1998,1052,946
6863,,,
3277,3195,3195,
4833,2330,2330,
218,1850,1850,
673,2942,1526,1104
9168,1314,1314,
5658,1918,959,959
6063,1842,1379,463
4219,3374,3374,
1785,,,
2288,1080,1080,
5264,2122,1162,960
6897,,,
8244,,,
5537,,,
5903,,,
9373,,,
2085,,,
3506,2006,1556,450
3347,1758,1758,
3677,,,
5511,3402,3402,
8424,,,
9454,,,
3649,2446,1230,1216
6505,,,
8243,2216,1434,782
5889,2018,718,1300
781,1946,1001,945
9526,3160,3160,
5849,3429,3429,
7797,2286,2286,
2116,2128,2128,
3731,3528,3528,
8833,1900,1900,
9543,,,
4591,1730,1730,
1392,3831,2373,1458
43,1780,1780,
1309,2798,2798,
1398,,,
2002,2822,1236,1586
4594,,,
5227,2550,2550,
5448,2163,2163,
7194,2174,2174,
8121,1254,1254,
9462,3791,3791,
9488,1324,1324,
1167,1660,1660,
774,2368,2368,
4670,3048,2010,1038
7593,1969,1969,
9090,5149,5149,
2210,1042,1042,
7037,3569,2362,1207
9776,4518,2494,2024
3263,1801,1801,
9688,2440,2440,
5852,2663,1553,1110
626,1264,498,766
728,1544,1544,
945,1888,1888,
1694,4291,2051,2240
2295,,,
2723,2846,1878,968
3120,2158,2158,
3861,3720,3720,
3880,1288,1288,
4158,1400,1400,
4304,3199,3199,
5125,2687,1317,1257
6191,6480,6480,
6587,2160,2160,
6593,2144,1276,868
6831,3346,1935,1411
6837,2221,2221,
8201,1835,1835,
8218,1110,1110,
8519,2562,1240,1322
8641,1182,1182,
8838,1700,1700,
9432,1845,1845,
2039,1174,1174,
4859,,,
2182,,,
7519,,,
9036,1464,672,792
7169,2324,2324,
9555,2435,2435,
754,1673,1673,
5288,3310,3310,
159,1432,1432,
182,2139,880,1259
193,3042,3042,
245,1499,1499,
304,2877,2877,
341,1147,1147,
431,1930,1930,
513,1660,1660,
604,,,
642,2710,2710,
821,1743,1743,
825,2661,1986,675
831,,,
941,2161,2161,
985,1604,1120,484
1115,2894,2894,
1146,1475,1475,
1312,996,996,
1388,,,
1499,2787,2787,
1515,2074,2074,
1591,1883,1883,
1604,3536,3536,
1608,2423,263,2160
1629,,,
1711,3192,1596,1596
1741,1948,1948,
1830,2015,2015,
1958,3230,1494,1736
1960,1390,1390,
2053,1180,1180,
2084,1696,1696,
2090,,,
2152,,,
2198,1936,1936,
2216,1157,1157,
2290,2759,2759,
2296,3273,2145,1128
2300,1711,1711,
2314,2534,2534,
2322,3209,3209,
2485,2510,2510,
2534,,,
2678,2323,2323,
2713,1786,1786,
2744,1078,1078,
2805,2580,1362,1218
2835,3067,3067,
3087,1926,1926,
3098,,,
3115,2453,2453,
3458,3250,3250,
3555,1350,1350,
3575,2394,2394,
3795,3992,1991,2001
3896,3233,,
3930,1286,1286,
4056,2480,2480,
4313,3134,3134,
4354,2572,2572,
4377,1599,1599,
4517,1550,1550,
4632,1770,1770,
4634,1644,1644,
4834,,,
4948,1722,1722,
4956,4104,2131,1973
4980,1812,1812,
5262,3080,3080,
5271,2377,2377,
5394,2056,2056,
5449,3081,3081,
5485,1929,1929,
5556,4593,4593,
5610,2027,2027,
5850,1932,1932,
5956,2461,2461,
6118,,,
6329,2557,651,1906
6386,1548,1548,
6408,,,
6470,,,
6809,1812,964,848
6852,3210,1812,1398
6887,2520,588,1932
7009,2343,1883,
7154,2126,2126,
7166,2765,2071,694
7195,1670,1670,
7245,1380,1380,
7332,3952,3952,
7364,3010,3010,
7525,2069,2069,
7636,5084,5084,
7643,1430,605,825
7806,3484,3484,
7879,1675,1675,
7903,2994,2450,
7961,2156,2156,
7980,1572,1572,
8018,2710,2710,
8046,2740,2740,
8137,2319,2319,
8152,,,
8164,2960,2960,
8180,1852,1852,
8254,1370,1370,
8345,1570,1570,
8590,1201,1201,
8685,3254,1855,1399
8702,1252,1252,
8910,2271,2271,
8949,2896,1448,1448
9041,2860,2860,
9155,1534,1534,
9180,2920,2920,
9222,3466,2248,1218
9264,2445,1408,1037
9308,2549,1449,1100
9377,2308,2308,
9548,4389,2176,2213
9725,1312,1312,
9869,1787,1787,
9897,1818,1818,
9983,3068,3068,
50,2900,2900,
2421,1575,1575,
8006,1645,1645,
9678,3444,1747,1697
8163,1649,1649,0
9819,2698,1122,1576
4597,,,
9152,,,
298,1510,1510,
490,2126,2126,
903,3696,2508,1188
937,2394,2394,
1654,2510,2510,
1679,,,
2278,2265,1501,764
2393,2041,2041,
2902,2180,2180,
3212,1616,1616,
3364,2808,2808,
3394,2622,2622,
4314,2493,2493,
5678,2358,2358,
6233,1182,1182,
7793,2687,1313,1374
8338,2144,2144,
8834,2599,2599,
9173,1405,1216,189
5321,,,
8421,,,
3578,1442,1442,
1700,2889,,
125,2801,1995,806
337,2074,2074,
733,1594,1594,
810,1485,1485,
925,,,
1011,3225,3225,
1125,2540,2540,
1439,1588,1588,
1696,2170,2170,
2188,1511,1511,
2391,1480,1480,
2480,1726,1726,
2690,3384,3384,
2710,1346,1346,
2858,,,
2900,3265,1902,1363
3045,1922,1922,
3368,1536,1536,
3741,3350,3350,
4062,2029,2029,
4162,3591,1719,1584
4191,2459,2459,
4231,4084,4084,
4491,1790,1790,
4576,2940,2940,
4694,2298,2298,
4773,2615,2615,
4850,2610,1751,859
5062,1980,900,580
5089,2855,1816,1039
5090,,,
5191,1995,1014,981
5238,2391,2391,
5312,1906,1906,
5355,2145,2145,
6057,2303,2303,
6308,1426,1426,
6321,2722,1292,1430
6764,1276,1276,
6927,1932,1932,
6960,1920,1920,
7103,3560,3560,
7198,2167,2167,
7211,1428,1428,
7248,1949,1949,
7626,2035,2035,
8024,1817,1817,
8124,3106,3106,
8139,1663,965,
8185,1470,1470,
8223,2183,2183,
8478,2132,,
8604,1959,1959,
8691,3134,2234,900
8693,2744,1372,1372
8744,2220,1080,1140
9080,,,
9534,1892,1892,
9648,1980,1980,
9807,2695,2695,
6551,,,
8731,2070,2070,
195,,,
498,2073,2073,
1162,2857,2857,
1572,2167,2167,
2257,2692,1584,1108
2297,1675,1675,
2369,2250,2250,
2536,2890,2890,
2739,1330,1330,
2969,1726,1726,
3610,1839,1720,
3686,4350,4350,
3906,2816,1028,1788
3921,1550,1550,
4055,2223,2223,
4185,3198,1300,1898
5188,1466,926,540
6019,,,
6271,2564,2564,
6644,,,
7149,2800,2800,
7273,1661,1661,
7433,4978,4978,
7447,3270,3270,
7485,2010,2010,
8449,2200,2200,
8966,2836,2836,
9143,1704,1704,
9171,2307,2307,
9255,2093,2093,
9471,2070,2070,
3486,2601,2601,
8907,,,
2532,2006,264,1742
6558,,,
2110,2560,2560,
4659,1310,1310,
4873,2306,2306,
2995,1726,693,1033
9233,,,
6744,,,
820,,,
2815,816,,
7302,,,
2521,,,
3026,,,
8961,816,,
4321,816,,
8328,627,,
4864,832,,
347,606,,
3411,1021,,
6500,816,,
9340,1021,,
7527,1021,,
135,816,,
1854,606,,
9201,816,,
9803,627,,
4042,627,,
4416,627,,
772,832,,
8034,832,,
1202,2126,1334,792
2692,2216,1434,782
3085,1280,1280,0
4806,,,
5786,4354,1830,2524
9051,,,
4437,,,
9890,,,
