6.52E-04,1.63E-02,-3.70E+00
4.17E-03,3.75E-02,-8.11E+00
7.00E-04,2.88E-02,-6.19E+00
1.96E-03,1.73E-02,-3.81E+00
4.96E-03,2.98E-02,-6.26E+00
3.10E-03,3.00E-02,-6.52E+00
2.89E-03,2.75E-02,-5.89E+00
2.34E-03,2.63E-02,-5.76E+00
2.32E-03,2.65E-02,-5.86E+00
-1.37E-03,3.30E-02,-7.21E+00
3.04E-03,3.47E-02,-7.55E+00
1.31E-03,1.91E-02,-4.17E+00
3.94E-03,2.43E-02,-5.29E+00
1.58E-03,8.85E-03,-1.98E+00
3.24E-03,1.60E-02,-3.67E+00
8.48E-04,6.60E-03,-1.21E+00
2.09E-03,1.72E-02,-3.80E+00
2.39E-03,3.31E-02,-6.78E+00
1.63E-03,1.03E-02,-2.31E+00
3.24E-03,2.81E-02,-6.02E+00
4.28E-03,2.72E-02,-5.66E+00
6.80E-04,3.82E-03,-8.36E-01
7.87E-03,8.95E-03,-1.59E+00
2.52E-03,1.72E-02,-3.83E+00
2.16E-03,3.19E-02,-6.59E+00
4.73E-03,1.37E-02,-2.59E+00
1.98E-03,1.01E-02,-2.26E+00
-1.64E-02,1.60E-02,-1.92E+00
4.70E-04,2.56E-02,-5.40E+00
2.57E-03,2.91E-02,-6.10E+00
1.81E-03,1.64E-02,-3.60E+00
4.04E-03,3.76E-10,9.59E-01
3.84E-03,2.52E-02,-5.73E+00
3.22E-03,2.77E-02,-6.11E+00
2.16E-04,2.68E-02,-5.86E+00
2.53E-03,3.04E-02,-6.32E+00
-2.69E-04,1.53E-02,-3.24E+00
3.73E-03,2.89E-02,-6.46E+00
5.05E-04,3.00E-02,-6.53E+00
1.49E-03,1.57E-02,-3.54E+00
1.65E-03,1.14E-02,-2.54E+00
2.52E-03,2.94E-02,-6.00E+00
-1.37E-03,9.39E-03,-1.76E+00
-1.43E-04,2.65E-02,-5.77E+00
-4.02E-04,4.30E-02,-8.77E+00
1.62E-03,1.10E-02,-2.48E+00
1.81E-03,1.16E-02,-2.67E+00
